dim_0,amplitude_beam1,amplitude_beam2,amplitude_beam3,analog1,battery_voltage_dV,date_time_string,driver_timestamp,error_code,heading_decidegree,internal_timestamp,pitch_decidegree,pkt_format_id,pkt_version,preferred_timestamp,pressure_mbar,quality_flag,roll_decidegree,sound_speed_dms,status,stream_name,temperature_centidegree,velocity_beam1,velocity_beam2,velocity_beam3
0,59,61,68,0,116,2017/04/28 07:03:07,3722364942.49,0,2362,3702351787.0,15,JSON_Data,1,internal_timestamp,13243,ok,-27,14812,17,velpt_ab_dcl_diagnostics,768,-67,48,-1591
1,83,80,82,0,116,2017/04/28 07:03:08,3722364942.49,0,2317,3702351788.0,4,JSON_Data,1,internal_timestamp,13476,ok,-51,14812,17,velpt_ab_dcl_diagnostics,768,478,453,323
2,78,81,82,0,116,2017/04/28 07:03:09,3722364942.49,0,2394,3702351789.0,-30,JSON_Data,1,internal_timestamp,13895,ok,-62,14812,17,velpt_ab_dcl_diagnostics,768,324,-352,146
3,84,87,82,0,116,2017/04/28 07:03:10,3722364942.49,0,2392,3702351790.0,0,JSON_Data,1,internal_timestamp,13817,ok,-22,14812,17,velpt_ab_dcl_diagnostics,768,295,-421,-823
4,77,84,80,0,116,2017/04/28 07:03:11,3722364942.49,0,2368,3702351791.0,11,JSON_Data,1,internal_timestamp,12705,ok,22,14812,17,velpt_ab_dcl_diagnostics,768,288,395,-364
5,83,84,97,0,116,2017/04/28 07:03:12,3722364942.49,0,2288,3702351792.0,-31,JSON_Data,1,internal_timestamp,12259,ok,-36,14812,17,velpt_ab_dcl_diagnostics,768,86,282,-43
6,77,81,88,0,116,2017/04/28 07:03:13,3722364942.49,0,2243,3702351793.0,-16,JSON_Data,1,internal_timestamp,12240,ok,-61,14812,17,velpt_ab_dcl_diagnostics,768,-375,31,512
7,82,82,82,0,116,2017/04/28 07:03:14,3722364942.49,0,2132,3702351794.0,34,JSON_Data,1,internal_timestamp,12759,ok,-93,14812,17,velpt_ab_dcl_diagnostics,768,-361,-112,638
8,79,86,89,0,116,2017/04/28 07:03:15,3722364942.49,0,2017,3702351795.0,52,JSON_Data,1,internal_timestamp,13265,ok,-104,14812,17,velpt_ab_dcl_diagnostics,768,153,-551,-242
9,79,81,80,0,116,2017/04/28 07:03:16,3722364942.49,0,1934,3702351796.0,81,JSON_Data,1,internal_timestamp,13033,ok,-70,14812,17,velpt_ab_dcl_diagnostics,768,520,-174,109
10,78,85,79,0,116,2017/04/28 07:03:17,3722364942.49,0,2011,3702351797.0,42,JSON_Data,1,internal_timestamp,13244,ok,-49,14812,17,velpt_ab_dcl_diagnostics,768,81,585,713
11,78,79,81,0,116,2017/04/28 07:03:18,3722364942.49,0,1897,3702351798.0,-13,JSON_Data,1,internal_timestamp,14261,ok,-82,14812,17,velpt_ab_dcl_diagnostics,768,143,872,143
12,81,88,80,0,116,2017/04/28 07:03:19,3722364942.49,0,1881,3702351799.0,-36,JSON_Data,1,internal_timestamp,13947,ok,-69,14812,17,velpt_ab_dcl_diagnostics,768,547,190,-1310
13,82,87,85,0,116,2017/04/28 07:03:20,3722364942.49,0,2228,3702351800.0,-22,JSON_Data,1,internal_timestamp,12348,ok,31,14812,17,velpt_ab_dcl_diagnostics,768,-182,-184,242
14,81,81,81,0,116,2017/04/28 07:03:21,3722364942.49,0,2255,3702351801.0,33,JSON_Data,1,internal_timestamp,12743,ok,-27,14812,17,velpt_ab_dcl_diagnostics,768,-329,-193,970
15,78,85,83,0,116,2017/04/28 07:03:22,3722364942.49,0,2145,3702351802.0,26,JSON_Data,1,internal_timestamp,13462,ok,-57,14812,17,velpt_ab_dcl_diagnostics,768,-712,-696,-305
16,82,79,82,0,116,2017/04/28 07:03:23,3722364942.49,0,1708,3702351803.0,78,JSON_Data,1,internal_timestamp,13024,ok,-75,14812,17,velpt_ab_dcl_diagnostics,768,264,227,-837
17,81,82,81,0,116,2017/04/28 07:03:24,3722364942.49,0,1719,3702351804.0,-27,JSON_Data,1,internal_timestamp,12286,ok,-49,14812,17,velpt_ab_dcl_diagnostics,768,-163,666,440
18,80,79,81,0,116,2017/04/28 07:03:25,3722364942.49,0,1853,3702351805.0,-84,JSON_Data,1,internal_timestamp,13147,ok,-92,14812,17,velpt_ab_dcl_diagnostics,768,-105,-10,1466
19,79,80,85,0,116,2017/04/28 07:03:26,3722364942.49,0,1651,3702351806.0,-28,JSON_Data,1,internal_timestamp,14124,ok,-125,14812,17,velpt_ab_dcl_diagnostics,768,223,15,-903
20,81,87,81,0,116,2017/04/28 07:03:27,3722364942.49,0,1763,3702351807.0,-6,JSON_Data,1,internal_timestamp,12849,ok,-28,14812,17,velpt_ab_dcl_diagnostics,768,215,-22,-549
21,81,80,82,0,116,2017/04/28 07:03:28,3722364942.49,0,1927,3702351808.0,-1,JSON_Data,1,internal_timestamp,12210,ok,-62,14812,17,velpt_ab_dcl_diagnostics,768,-439,-148,499
22,81,85,82,0,116,2017/04/28 07:03:29,3722364942.49,0,1890,3702351809.0,11,JSON_Data,1,internal_timestamp,12473,ok,-112,14812,17,velpt_ab_dcl_diagnostics,767,-763,-653,433
23,84,102,83,0,116,2017/04/28 07:03:30,3722364942.49,0,1539,3702351810.0,20,JSON_Data,1,internal_timestamp,13019,ok,-156,14812,17,velpt_ab_dcl_diagnostics,768,2,-319,206
24,85,78,82,0,116,2017/04/28 07:03:31,3722364942.5,0,1508,3702351811.0,-22,JSON_Data,1,internal_timestamp,13406,ok,-79,14812,17,velpt_ab_dcl_diagnostics,768,163,870,574
25,81,81,86,0,116,2017/04/28 07:03:32,3722364942.5,0,1660,3702351812.0,-69,JSON_Data,1,internal_timestamp,13985,ok,-72,14812,17,velpt_ab_dcl_diagnostics,768,701,678,-210
