dim_0,air_temperature,barometric_pressure,driver_timestamp,eastward_wind_velocity,longwave_irradiance,northward_wind_velocity,pkt_format_id,pkt_version,port_timestamp,precipitation,preferred_timestamp,quality_flag,relative_humidity,sea_surface_conductivity,sea_surface_temperature,shortwave_irradiance,stream_name
0,8.192,997.29,3722783779.11,13.02,353.2,-7.48,JSON_Data,1,3703363218.93,7.56,port_timestamp,ok,93.717,3.4826,7.235,3.5,metbk_a_dcl_instrument
1,8.207,995.84,3722783779.11,12.81,354.1,-8.11,JSON_Data,1,3703363283.37,7.64,port_timestamp,ok,93.511,3.4826,7.456,3.5,metbk_a_dcl_instrument
2,8.207,996.47,3722783779.11,12.04,353.5,-6.27,JSON_Data,1,3703363348.01,7.61,port_timestamp,ok,93.474,3.4826,7.451,3.3,metbk_a_dcl_instrument
3,8.192,996.88,3722783779.11,11.56,353.6,-6.44,JSON_Data,1,3703363412.58,7.64,port_timestamp,ok,93.519,3.4827,7.444,3.4,metbk_a_dcl_instrument
4,8.207,996.53,3722783779.11,11.27,354.0,-7.22,JSON_Data,1,3703363479.09,7.62,port_timestamp,ok,93.519,3.4827,7.444,3.4,metbk_a_dcl_instrument
5,8.2,997.02,3722783779.11,11.62,353.7,-7.6,JSON_Data,1,3703363512.29,7.58,port_timestamp,ok,93.496,3.4826,7.444,3.3,metbk_a_dcl_instrument
6,8.215,996.74,3722783779.11,10.97,354.1,-7.13,JSON_Data,1,3703363575.61,7.58,port_timestamp,ok,93.533,3.4827,7.444,3.3,metbk_a_dcl_instrument
7,8.17,996.74,3722783779.11,11.13,353.6,-8.02,JSON_Data,1,3703363640.21,7.56,port_timestamp,ok,93.415,3.4828,7.446,3.4,metbk_a_dcl_instrument
8,8.177,996.81,3722783779.11,10.75,353.7,-7.26,JSON_Data,1,3703363704.44,7.6,port_timestamp,ok,93.504,3.4828,7.445,3.3,metbk_a_dcl_instrument
9,8.177,997.43,3722783779.11,11.68,354.2,-8.89,JSON_Data,1,3703363768.69,7.66,port_timestamp,ok,93.452,3.4827,7.444,3.1,metbk_a_dcl_instrument
10,8.155,996.67,3722783779.11,10.38,353.7,-8.48,JSON_Data,1,3703363832.91,7.57,port_timestamp,ok,93.489,3.4828,7.445,3.2,metbk_a_dcl_instrument
11,8.132,996.26,3722783779.11,9.89,353.9,-7.26,JSON_Data,1,3703363897.72,7.58,port_timestamp,ok,93.592,3.4828,7.445,3.1,metbk_a_dcl_instrument
12,8.155,996.53,3722783779.11,11.14,354.6,-8.06,JSON_Data,1,3703363930.2,7.6,port_timestamp,ok,93.452,3.4828,7.445,3.4,metbk_a_dcl_instrument
13,8.162,996.74,3722783779.11,11.15,354.4,-7.33,JSON_Data,1,3703363994.82,7.57,port_timestamp,ok,93.482,3.4827,7.445,3.3,metbk_a_dcl_instrument
14,8.162,997.5,3722783779.11,10.93,354.6,-7.11,JSON_Data,1,3703364059.78,7.62,port_timestamp,ok,93.408,3.4827,7.445,3.4,metbk_a_dcl_instrument
15,8.185,996.67,3722783779.11,9.92,354.6,-8.44,JSON_Data,1,3703364124.0,7.69,port_timestamp,ok,93.43,3.4827,7.39,3.3,metbk_a_dcl_instrument
16,8.162,997.09,3722783779.11,11.97,353.6,-8.19,JSON_Data,1,3703364189.46,7.57,port_timestamp,ok,93.379,3.4826,7.456,3.2,metbk_a_dcl_instrument
17,8.17,996.6,3722783779.11,10.56,354.0,-7.86,JSON_Data,1,3703364253.82,7.58,port_timestamp,ok,93.438,3.4826,7.45,3.3,metbk_a_dcl_instrument
18,8.162,996.6,3722783779.11,11.52,354.0,-7.34,JSON_Data,1,3703364318.14,7.57,port_timestamp,ok,93.283,3.4826,7.444,3.3,metbk_a_dcl_instrument
19,8.162,996.95,3722783779.11,9.47,354.0,-7.39,JSON_Data,1,3703364351.17,7.58,port_timestamp,ok,93.423,3.4826,7.444,3.2,metbk_a_dcl_instrument
20,8.17,996.4,3722783779.11,8.37,354.0,-7.32,JSON_Data,1,3703364415.4,7.57,port_timestamp,ok,93.607,3.4826,7.444,3.2,metbk_a_dcl_instrument
21,8.155,997.15,3722783779.11,9.92,354.0,-7.44,JSON_Data,1,3703364479.7,7.65,port_timestamp,ok,93.533,3.4826,7.445,3.1,metbk_a_dcl_instrument
22,8.147,997.09,3722783779.11,10.41,354.5,-6.82,JSON_Data,1,3703364544.07,7.57,port_timestamp,ok,93.57,3.4827,7.443,3.3,metbk_a_dcl_instrument
23,8.147,997.02,3722783779.11,10.16,353.9,-8.38,JSON_Data,1,3703364608.39,7.55,port_timestamp,ok,93.46,3.4827,7.444,3.2,metbk_a_dcl_instrument
24,8.155,996.88,3722783779.11,10.47,354.4,-7.05,JSON_Data,1,3703364672.62,7.57,port_timestamp,ok,93.533,3.4827,7.444,3.1,metbk_a_dcl_instrument
25,8.162,996.47,3722783779.11,10.94,355.0,-6.87,JSON_Data,1,3703364737.02,7.57,port_timestamp,ok,93.519,3.4826,7.446,3.2,metbk_a_dcl_instrument
26,8.185,997.02,3722783779.11,10.4,354.5,-6.7,JSON_Data,1,3703364772.05,7.58,port_timestamp,ok,93.732,3.4827,7.445,3.3,metbk_a_dcl_instrument
27,8.155,996.67,3722783779.11,10.93,354.2,-8.61,JSON_Data,1,3703364836.33,7.57,port_timestamp,ok,93.673,3.4825,7.443,3.2,metbk_a_dcl_instrument
28,8.147,997.02,3722783779.11,9.63,355.2,-7.62,JSON_Data,1,3703364900.56,7.6,port_timestamp,ok,93.806,3.4826,7.446,3.0,metbk_a_dcl_instrument
29,8.125,997.29,3722783779.11,11.6,354.2,-7.6,JSON_Data,1,3703364965.12,7.58,port_timestamp,ok,93.732,3.4826,7.445,3.0,metbk_a_dcl_instrument
30,8.132,997.02,3722783779.11,10.99,354.4,-6.11,JSON_Data,1,3703365029.51,7.57,port_timestamp,ok,93.997,3.4824,7.456,3.0,metbk_a_dcl_instrument
31,8.132,996.88,3722783779.11,10.48,354.4,-6.55,JSON_Data,1,3703365093.84,7.59,port_timestamp,ok,94.181,3.4823,7.39,3.0,metbk_a_dcl_instrument
