dim_0,amplitude_beam1,amplitude_beam2,amplitude_beam3,analog1,battery_voltage_dV,date_time_string,driver_timestamp,error_code,heading_decidegree,internal_timestamp,pitch_decidegree,pkt_format_id,pkt_version,preferred_timestamp,pressure_mbar,quality_flag,roll_decidegree,sound_speed_dms,status,stream_name,temperature_centidegree,velocity_beam1,velocity_beam2,velocity_beam3
0,88,88,92,0,116,2017/04/28 00:00:08,3722364942.49,0,1851,3702326408.0,12,JSON_Data,1,internal_timestamp,13129,ok,-32,14813,17,velpt_ab_dcl_instrument,770,-172,151,-116
1,79,80,78,0,116,2017/04/28 00:15:01,3722364942.49,0,1808,3702327301.0,11,JSON_Data,1,internal_timestamp,13152,ok,-32,14813,17,velpt_ab_dcl_instrument,770,-153,57,9
2,76,79,76,0,116,2017/04/28 00:31:04,3722364942.49,0,1721,3702328264.0,4,JSON_Data,1,internal_timestamp,13142,ok,-30,14812,33,velpt_ab_dcl_instrument,769,-116,63,-18
3,80,78,79,0,116,2017/04/28 00:45:01,3722364942.49,0,2044,3702329101.0,10,JSON_Data,1,internal_timestamp,13147,ok,-24,14812,17,velpt_ab_dcl_instrument,769,-105,62,-26
4,92,95,96,0,116,2017/04/28 01:00:06,3722364942.49,0,2025,3702330006.0,9,JSON_Data,1,internal_timestamp,13148,ok,-27,14812,17,velpt_ab_dcl_instrument,768,-143,66,-3
5,93,91,94,0,116,2017/04/28 01:15:02,3722364942.49,0,2005,3702330902.0,11,JSON_Data,1,internal_timestamp,13137,ok,-24,14812,17,velpt_ab_dcl_instrument,768,-131,22,-26
6,89,88,90,0,116,2017/04/28 01:30:02,3722364942.49,0,1933,3702331802.0,3,JSON_Data,1,internal_timestamp,13156,ok,-22,14812,17,velpt_ab_dcl_instrument,768,-129,-7,-16
7,89,88,83,0,116,2017/04/28 01:45:01,3722364942.49,0,2204,3702332701.0,11,JSON_Data,1,internal_timestamp,13165,ok,-22,14812,17,velpt_ab_dcl_instrument,768,-128,8,-27
8,93,97,98,0,116,2017/04/28 02:00:07,3722364942.49,0,2141,3702333607.0,6,JSON_Data,1,internal_timestamp,13140,ok,-30,14812,17,velpt_ab_dcl_instrument,768,-149,23,-26
9,82,83,81,0,116,2017/04/28 02:16:02,3722364942.49,0,2008,3702334562.0,5,JSON_Data,1,internal_timestamp,13127,ok,-36,14812,33,velpt_ab_dcl_instrument,768,-132,-22,18
10,81,82,81,0,116,2017/04/28 02:30:02,3722364942.49,0,2288,3702335402.0,11,JSON_Data,1,internal_timestamp,13164,ok,-26,14812,17,velpt_ab_dcl_instrument,768,-113,-23,34
11,84,84,80,0,116,2017/04/28 02:45:02,3722364942.49,0,2222,3702336302.0,7,JSON_Data,1,internal_timestamp,13144,ok,-32,14812,17,velpt_ab_dcl_instrument,767,-99,1,-22
12,90,92,95,0,116,2017/04/28 03:00:07,3722364942.49,0,2294,3702337207.0,8,JSON_Data,1,internal_timestamp,13145,ok,-29,14812,17,velpt_ab_dcl_instrument,768,-63,22,-79
13,88,85,84,0,116,2017/04/28 03:16:02,3722364942.49,0,2328,3702338162.0,10,JSON_Data,1,internal_timestamp,13152,ok,-34,14812,33,velpt_ab_dcl_instrument,767,-94,14,-4
14,90,88,88,0,116,2017/04/28 03:31:05,3722364942.49,0,2200,3702339065.0,7,JSON_Data,1,internal_timestamp,13136,ok,-35,14812,33,velpt_ab_dcl_instrument,767,-97,-4,10
15,83,82,83,0,116,2017/04/28 03:45:02,3722364942.49,0,2146,3702339902.0,8,JSON_Data,1,internal_timestamp,13135,ok,-39,14812,17,velpt_ab_dcl_instrument,767,-71,-32,-9
16,90,91,93,0,116,2017/04/28 04:00:08,3722364942.49,0,1850,3702340808.0,6,JSON_Data,1,internal_timestamp,13120,ok,-53,14812,17,velpt_ab_dcl_instrument,767,-147,-82,-42
17,80,80,78,0,116,2017/04/28 04:16:03,3722364942.49,0,1837,3702341763.0,11,JSON_Data,1,internal_timestamp,13090,ok,-46,14811,33,velpt_ab_dcl_instrument,766,-82,-86,21
18,79,81,79,0,116,2017/04/28 04:30:03,3722364942.49,0,2176,3702342603.0,21,JSON_Data,1,internal_timestamp,13084,ok,-43,14811,17,velpt_ab_dcl_instrument,766,-91,-29,13
19,78,80,79,0,116,2017/04/28 04:45:03,3722364942.49,0,2153,3702343503.0,12,JSON_Data,1,internal_timestamp,13141,ok,-34,14811,17,velpt_ab_dcl_instrument,766,6,-63,-11
20,84,84,87,0,116,2017/04/28 05:00:06,3722364942.49,0,2398,3702344406.0,20,JSON_Data,1,internal_timestamp,13140,ok,-33,14811,17,velpt_ab_dcl_instrument,766,-8,-18,-4
21,80,80,80,0,116,2017/04/28 05:15:02,3722364942.49,0,2374,3702345302.0,20,JSON_Data,1,internal_timestamp,13134,ok,-43,14811,17,velpt_ab_dcl_instrument,766,-64,-1,5
22,77,82,79,0,116,2017/04/28 05:30:02,3722364942.49,0,2360,3702346202.0,24,JSON_Data,1,internal_timestamp,13134,ok,-42,14811,17,velpt_ab_dcl_instrument,766,21,-14,0
23,79,81,80,0,116,2017/04/28 05:45:03,3722364942.49,0,2106,3702347103.0,15,JSON_Data,1,internal_timestamp,13118,ok,-49,14811,17,velpt_ab_dcl_instrument,766,41,-71,15
24,89,90,93,0,116,2017/04/28 06:00:09,3722364942.49,0,2101,3702348009.0,16,JSON_Data,1,internal_timestamp,13115,ok,-54,14811,17,velpt_ab_dcl_instrument,766,28,0,6
25,79,79,79,0,116,2017/04/28 06:16:01,3722364942.49,0,2174,3702348961.0,20,JSON_Data,1,internal_timestamp,13099,ok,-59,14811,33,velpt_ab_dcl_instrument,766,91,-53,36
26,79,78,76,0,116,2017/04/28 06:31:02,3722364942.49,0,2189,3702349862.0,19,JSON_Data,1,internal_timestamp,13110,ok,-56,14812,33,velpt_ab_dcl_instrument,767,55,-23,1
27,78,78,78,0,116,2017/04/28 06:45:02,3722364942.49,0,2387,3702350702.0,25,JSON_Data,1,internal_timestamp,13096,ok,-53,14812,17,velpt_ab_dcl_instrument,767,114,3,26
28,90,91,94,0,116,2017/04/28 07:00:06,3722364942.49,0,2328,3702351606.0,33,JSON_Data,1,internal_timestamp,13068,ok,-52,14812,17,velpt_ab_dcl_instrument,767,100,29,-39
29,79,79,79,0,116,2017/04/28 07:15:03,3722364942.51,0,2158,3702352503.0,17,JSON_Data,1,internal_timestamp,13107,ok,-60,14812,17,velpt_ab_dcl_instrument,768,135,-24,36
30,79,79,77,0,116,2017/04/28 07:31:01,3722364942.51,0,2217,3702353461.0,28,JSON_Data,1,internal_timestamp,13092,ok,-60,14812,33,velpt_ab_dcl_instrument,768,140,4,43
31,80,78,79,0,116,2017/04/28 07:46:03,3722364942.51,0,2235,3702354363.0,24,JSON_Data,1,internal_timestamp,13086,ok,-60,14812,33,velpt_ab_dcl_instrument,767,148,69,20
32,91,93,94,0,116,2017/04/28 08:00:08,3722364942.51,0,2348,3702355208.0,31,JSON_Data,1,internal_timestamp,13110,ok,-50,14812,17,velpt_ab_dcl_instrument,767,131,82,9
33,83,82,82,0,116,2017/04/28 08:16:02,3722364942.51,0,2149,3702356162.0,23,JSON_Data,1,internal_timestamp,13111,ok,-56,14812,33,velpt_ab_dcl_instrument,767,139,29,62
34,89,87,84,0,116,2017/04/28 08:30:03,3722364942.51,0,2224,3702357003.0,25,JSON_Data,1,internal_timestamp,13090,ok,-49,14812,17,velpt_ab_dcl_instrument,767,176,64,-33
35,81,82,82,0,116,2017/04/28 08:46:02,3722364942.51,0,2167,3702357962.0,24,JSON_Data,1,internal_timestamp,13124,ok,-55,14812,33,velpt_ab_dcl_instrument,767,164,53,23
36,90,93,95,0,116,2017/04/28 09:00:05,3722364942.51,0,2170,3702358805.0,22,JSON_Data,1,internal_timestamp,13144,ok,-50,14812,17,velpt_ab_dcl_instrument,767,163,186,-91
37,79,81,79,0,116,2017/04/28 09:15:02,3722364942.51,0,2146,3702359702.0,23,JSON_Data,1,internal_timestamp,13091,ok,-54,14812,17,velpt_ab_dcl_instrument,767,103,164,38
38,79,80,79,0,116,2017/04/28 09:30:02,3722364942.51,0,2083,3702360602.0,23,JSON_Data,1,internal_timestamp,13123,ok,-52,14812,17,velpt_ab_dcl_instrument,767,120,157,-26
39,79,80,77,0,116,2017/04/28 09:45:02,3722364942.51,0,2206,3702361502.0,30,JSON_Data,1,internal_timestamp,13095,ok,-50,14812,17,velpt_ab_dcl_instrument,768,69,177,10
40,89,92,94,0,116,2017/04/28 10:00:09,3722364942.51,0,2151,3702362409.0,31,JSON_Data,1,internal_timestamp,13094,ok,-51,14812,17,velpt_ab_dcl_instrument,767,95,184,-64
41,80,80,80,0,116,2017/04/28 10:15:01,3722364942.51,0,2156,3702363301.0,27,JSON_Data,1,internal_timestamp,13105,ok,-52,14812,17,velpt_ab_dcl_instrument,767,143,202,-19
42,80,80,81,0,116,2017/04/28 10:30:02,3722364942.51,0,2147,3702364202.0,27,JSON_Data,1,internal_timestamp,13090,ok,-53,14812,17,velpt_ab_dcl_instrument,767,123,217,-15
43,81,81,79,0,116,2017/04/28 10:45:02,3722364942.51,0,2201,3702365102.0,39,JSON_Data,1,internal_timestamp,13028,ok,-53,14812,17,velpt_ab_dcl_instrument,767,65,194,50
44,91,92,95,0,116,2017/04/28 11:00:06,3722364942.51,0,2357,3702366006.0,35,JSON_Data,1,internal_timestamp,13084,ok,-43,14812,17,velpt_ab_dcl_instrument,767,165,296,-66
45,80,80,80,0,116,2017/04/28 11:15:03,3722364942.51,0,2164,3702366903.0,25,JSON_Data,1,internal_timestamp,13106,ok,-49,14812,17,velpt_ab_dcl_instrument,767,125,222,-4
46,80,80,78,0,116,2017/04/28 11:31:02,3722364942.51,0,2145,3702367862.0,24,JSON_Data,1,internal_timestamp,13115,ok,-49,14812,33,velpt_ab_dcl_instrument,767,75,219,-40
