ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,# Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl11/mopak/*.mopak.log,0,0,0,0,GA01SUMO-SBD11-01-MOPAK0000,telemetered,Missing,No Mopak Data,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl11/dosta1/*.dosta.log,35,0,6,29,GA01SUMO-SBD11-04-DOSTAD000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl11/spkir1/*.spkir1.log,294,0,4,290,GA01SUMO-SBD11-05-SPKIRB000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl11/metbk1/*.metbk*.log,97,0,22,75,GA01SUMO-SBD11-06-METBKA000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.nutnr-b-dcl-full_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl11/nutnr1/*.nutnr*.log,246,0,22,224,GA01SUMO-SBD11-08-NUTNRB000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl12/optaa1/*.optaa*.log,822,0,55,767,GA01SUMO-SBD12-01-OPTAAD000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl12/flort1/*.flort*.log,78,0,33,45,GA01SUMO-SBD12-02-FLORTD000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.pco2a-a-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl12/pco2a/*.pco2a.log,69,0,16,53,GA01SUMO-SBD12-04-PCO2AA000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.wavss-a-dcl-full_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl12/wavss/*.wavss.log,311,0,6,305,GA01SUMO-SBD12-05-WAVSSA000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl12/metbk2/*.metbk*.log,311,0,7,304,GA01SUMO-SBD12-06-METBKA000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl16/optaa2/*.optaa*.log,6298,0,32,6266,GA01SUMO-RID16-01-OPTAAD000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl16/flort2/*.flort*.log,290,0,9,281,GA01SUMO-RID16-02-FLORTD000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.ctdbp-cdef-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl16/ctdbp/*.ctdbp.log,297,0,5,292,GA01SUMO-RID16-03-CTDBPF000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.velpt-ab-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl16/velpt/*.velpt.log,17,0,17,0,GA01SUMO-RID16-04-VELPTA000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.pco2w-abc-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl16/pco2w/*.pco2w.log,269,0,15,254,GA01SUMO-RID16-05-PCO2WB000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl16/dosta2/*.dosta2.log,273,0,0,273,GA01SUMO-RID16-06-DOSTAD000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.nutnr-b-dcl-full_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl16/nutnr2/*.nutnr2.log,278,0,0,278,GA01SUMO-RID16-07-NUTNRB000,telemetered,Available,,NaN
GA01SUMO_D00001_ingest.csv,GA01SUMO,001,Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/GA01SUMO/D00001/cg_data/dcl16/spkir2/*.spkir2.log,289,0,11,278,GA01SUMO-RID16-08-SPKIRB000,telemetered,Available,,NaN
