refdes_list,method_list,type_list
GA01SUMO-RID16-00-DCLENG000,recovered_host,Engineering
GA01SUMO-RID16-00-DCLENG000,telemetered,Engineering
GA01SUMO-RID16-01-OPTAAD000,recovered_host,Science
GA01SUMO-RID16-01-OPTAAD000,telemetered,Science
GA01SUMO-RID16-02-FLORTD000,recovered_host,Science
GA01SUMO-RID16-02-FLORTD000,telemetered,Science
GA01SUMO-RID16-03-CTDBPF000,recovered_host,Science
GA01SUMO-RID16-03-CTDBPF000,recovered_inst,Science
GA01SUMO-RID16-03-CTDBPF000,telemetered,Science
GA01SUMO-RID16-04-VELPTA000,recovered_host,Science
GA01SUMO-RID16-04-VELPTA000,recovered_inst,Science
GA01SUMO-RID16-04-VELPTA000,telemetered,Science
GA01SUMO-RID16-05-PCO2WB000,recovered_host,Science
GA01SUMO-RID16-05-PCO2WB000,recovered_inst,Science
GA01SUMO-RID16-05-PCO2WB000,telemetered,Science
GA01SUMO-RID16-06-DOSTAD000,recovered_host,Science
GA01SUMO-RID16-06-DOSTAD000,telemetered,Science
GA01SUMO-RID16-07-NUTNRB000,recovered_host,Science
GA01SUMO-RID16-07-NUTNRB000,recovered_inst,Science
GA01SUMO-RID16-07-NUTNRB000,telemetered,Science
GA01SUMO-RID16-08-SPKIRB000,recovered_host,Science
GA01SUMO-RID16-08-SPKIRB000,telemetered,Science
GA01SUMO-RII11-02-ADCPSN010,recovered_host,Science
GA01SUMO-RII11-02-ADCPSN010,recovered_inst,Science
GA01SUMO-RII11-02-ADCPSN010,telemetered,Science
GA01SUMO-RII11-02-CTDBPP031,recovered_inst,Science
GA01SUMO-RII11-02-CTDBPP031,recovered_host,Science
GA01SUMO-RII11-02-CTDBPP031,telemetered,Science
GA01SUMO-RII11-02-CTDBPP032,recovered_inst,Science
GA01SUMO-RII11-02-CTDBPP032,recovered_host,Science
GA01SUMO-RII11-02-CTDBPP032,telemetered,Science
GA01SUMO-RII11-02-CTDBPP033,recovered_inst,Science
GA01SUMO-RII11-02-CTDBPP033,recovered_host,Science
GA01SUMO-RII11-02-CTDBPP033,telemetered,Science
GA01SUMO-RII11-02-CTDMOQ011,recovered_host,Science
GA01SUMO-RII11-02-CTDMOQ011,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOQ011,telemetered,Science
GA01SUMO-RII11-02-CTDMOQ012,recovered_host,Science
GA01SUMO-RII11-02-CTDMOQ012,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOQ012,telemetered,Science
GA01SUMO-RII11-02-CTDMOQ013,recovered_host,Science
GA01SUMO-RII11-02-CTDMOQ013,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOQ013,telemetered,Science
GA01SUMO-RII11-02-CTDMOQ014,recovered_host,Science
GA01SUMO-RII11-02-CTDMOQ014,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOQ014,telemetered,Science
GA01SUMO-RII11-02-CTDMOQ015,recovered_host,Science
GA01SUMO-RII11-02-CTDMOQ015,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOQ015,telemetered,Science
GA01SUMO-RII11-02-CTDMOQ016,recovered_host,Science
GA01SUMO-RII11-02-CTDMOQ016,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOQ016,telemetered,Science
GA01SUMO-RII11-02-CTDMOQ017,recovered_host,Science
GA01SUMO-RII11-02-CTDMOQ017,recovered_inst,Science
GA01SUMO-RII11-02-CTDMOQ017,telemetered,Science
GA01SUMO-RII11-02-CTDMOQ031,recovered_host,Science
GA01SUMO-RII11-02-CTDMOQ031,recovered_inst,Science
