reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,compare_DH,Automated_status,status,notes_x,CUID_Deploy,compare,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GA05MOAS-PG562-00-ENG000000,recovered_host,Engineering,GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,1,#Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,R00001,Not Expected,Glider lost,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGCON-GLDRGP-00562,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-00-ENG000000,telemetered,Engineering,GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,1,Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,D00001,Available,,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGCON-GLDRGP-00562,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-01-CTDGVM000,recovered_host,Science,GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,1,#Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,R00001,Not Expected,Glider lost,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-CTDGVM-09284,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-01-CTDGVM000,telemetered,Science,GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,1,Ingest.ctdgv-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,D00001,Available,,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-CTDGVM-09284,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-02-DOSTAM000,recovered_host,Science,GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,1,#Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,R00001,Not Expected,Glider lost,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-DOSTAM-00420,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-02-DOSTAM000,telemetered,Science,GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,1,Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,D00001,Available,,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-DOSTAM-00420,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-03-FLORTM000,recovered_host,Science,GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,1,#Ingest.flort-m-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,R00001,Not Expected,Glider lost,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-FLORTM-03783,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-03-FLORTM000,telemetered,Science,GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,1,#Ingest.flort-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,D00001,Not Expected,Not configured properly for telemetry,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-FLORTM-03783,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-04-FLORTO000,recovered_host,Science,GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,1,#Ingest.flort-o-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,R00001,Not Expected,Glider lost,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-FLORTO-01329,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-04-FLORTO000,telemetered,Science,GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,1,#Ingest.flort-o-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,D00001,Not Expected,Not configured properly for telemetry. No parser,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-FLORTO-01329,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-05-NUTNRM000,recovered_host,Science,GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,1,#Ingest.nutnr-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,R00001,Not Expected,Glider lost,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-NUTNRM-00659,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-05-NUTNRM000,telemetered,Science,GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,1,Ingest.nutnr-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,D00001,Available,,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-NUTNRM-00659,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-06-PARADM000,recovered_host,Science,GA05MOAS-PG562_R00001_ingest.csv,GA05MOAS,1,#Ingest.parad-m-glider_recovered,/omc_data/whoi/OMC/GA05MOAS-PG562/R00001/merged-from-glider/ga_*.mrg,0,0,0,0,R00001,Not Expected,Glider lost,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-PARADM-50197,-42.57167,-42.65667,,,,Glider lost
GA05MOAS-PG562-06-PARADM000,telemetered,Science,GA05MOAS-PG562_D00001_ingest.csv,GA05MOAS,1,Ingest.parad-m-glider_telemetered,/omc_data/whoi/OMC/GA05MOAS-PG562/D00001/merged-from-glider/ga_*.mrg,1277,0,0,1277,D00001,Available,,,NBP-15-10,,,,,1,2015-11-24T21:30:00,2017-01-27T00:00:00,CGVGA-05MOAS-00000,CGVEH-GLDRGP-00562,CGINS-PARADM-50197,-42.57167,-42.65667,,,,Glider lost
