ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl11/mopak/*.mopak.log,5320,0,35,5285,GI01SUMO-SBD11-01-MOPAK0000,telemetered,Available,,NaN
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl11/hyd1/*hyd*.log,327,1,6,321,GI01SUMO-SBD11-03-HYDGN0000,telemetered,Available,,NaN
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl11/dosta1/*dosta*.log,327,1,6,321,GI01SUMO-SBD11-04-DOSTAD000,telemetered,Available,,NaN
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl11/spkir1/*spkir*.log,327,1,2,325,GI01SUMO-SBD11-05-SPKIRB000,telemetered,Available,,NaN
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl11/metbk1/*metbk*.log,325,1,7,318,GI01SUMO-SBD11-06-METBKA000,telemetered,Available,,NaN
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,#Ingest.nutnr-b-dcl-full_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl11/nutnr1/*nutnr*.log,50,0,5,45,GI01SUMO-SBD11-08-NUTNRB000,telemetered,Available,Not deployed,NaN
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl12/optaa1/*optaa*.log,5936,0,43,5893,GI01SUMO-SBD12-01-OPTAAD000,telemetered,Available,,NaN
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl12/flort1/*flort*.log,263,0,8,255,GI01SUMO-SBD12-02-FLORTD000,telemetered,Available,,NaN
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl12/hyd2/*hyd*.log,266,0,6,260,GI01SUMO-SBD12-03-HYDGN0000,telemetered,Available,,NaN
GI01SUMO_D00003_ingest.csv,GI01SUMO,003,Ingest.pco2a-a-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00003/cg_data/dcl12/pco2a/*pco2a*.log,266,0,6,260,GI01SUMO-SBD12-04-PCO2AA000,telemetered,Available,,NaN
