ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.mopak-o-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/MOPAK*/*.mopak.log,4853,0,19,4834,GI01SUMO-SBD11-01-MOPAK0000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.hyd-o-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/HYDGN_sn/*hyd*.log,251,0,9,242,GI01SUMO-SBD11-03-HYDGN0000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.metbk-a-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/METBK-Log_snLGR004/*.metbk*.log,244,0,12,232,GI01SUMO-SBD11-06-METBKA000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.dosta-abcdjm-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/DOSTA_sn211/*.dosta.log,245,0,17,228,GI01SUMO-SBD11-04-DOSTAD000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.spkir-abj-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/SPKIR_sn239/*.spkir1.log,232,0,1,231,GI01SUMO-SBD11-05-SPKIRB000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.nutnr-b-dcl-conc_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/NUTNR*/*.nutnr1.log,232,0,1,231,GI01SUMO-SBD11-08-NUTNRB000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,#Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/NUTNR*/*.DAT,0,0,0,0,GI01SUMO-SBD11-08-NUTNRB000,recovered_inst,Missing,no inst data available,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.metbk-a-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl12/METBK-Log_snLGR005/*.metbk*.log,234,0,7,227,GI01SUMO-SBD12-06-METBKA000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.pco2a-a-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl12/PCO2A*/*.pco2a.log,247,0,7,240,GI01SUMO-SBD12-04-PCO2AA000,recovered_host,Available,,NaN
GI01SUMO_R00001_ingest.csv,GI01SUMO,001,Ingest.wavss-a-dcl-full_recovered,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl12/WAVSS*/*.wavss.log,252,0,11,241,GI01SUMO-SBD12-05-WAVSSA000,recovered_host,Available,,NaN
