ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*flort_*.dat,19,0,14,5,GI03FLMB-RIS01-05-FLORTD000,telemetered,Available,,NaN
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*phsen_*.dat,14,0,10,4,GI03FLMB-RIS01-04-PHSENF000,telemetered,Available,,NaN
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*dosta_*.dat,18,0,5,13,GI03FLMB-RIS01-03-DOSTAD000,telemetered,Available,,NaN
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*adcps_*.dat,20,0,4,16,GI03FLMB-RIM01-02-ADCPSL007,telemetered,Available,,NaN
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo_*.dat,19,0,4,15,GI03FLMB-RIM01-02-CTDMOG000,telemetered,Available,,NaN
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI03FLMB-RI000-00-CTDMOH000,telemetered,,Does not telemeter data,NaN
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI03FLMB-RI000-00-CTDMOH700,telemetered,,Does not telemeter data,NaN
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI03FLMB-RI000-00-CTDMOH400,telemetered,,Does not telemeter data,NaN
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI03FLMB-RI000-00-CTDMOH100,telemetered,,Does not telemeter data,NaN
GI03FLMB_D00001_ingest.csv,GI03FLMB,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GI03FLMB-RI000-00-VELPTB000,telemetered,,Does not telemeter data,NaN
