reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,compare_DH,Automated_status,status,notes_x,CUID_Deploy,compare,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GI03FLMB-RI000-00-CTDMOH000,recovered_inst,Science,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/CTDMO-H_sn12224/*.hex,1,0,0,1,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-12224,59.71267,-39.23017,,1822,2825,
GI03FLMB-RI000-00-CTDMOH000,recovered_inst,Science,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/CTDMO_sn37-13454/*.hex,1,0,0,1,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGINS-CTDMOH-13454,59.71823,-39.35362,,1822,2812,
GI03FLMB-RI000-00-CTDMOH100,recovered_inst,Science,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/CTDMO-H_sn12218/*.hex,1,0,0,1,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-12218,59.71267,-39.23017,,2725,2825,
GI03FLMB-RI000-00-CTDMOH100,recovered_inst,Science,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/CTDMO_sn37-13457/*.hex,1,0,0,1,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGINS-CTDMOH-13457,59.71823,-39.35362,,2725,2812,
GI03FLMB-RI000-00-CTDMOH400,recovered_inst,Science,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/CTDMO-H_sn12219/*.hex,1,0,0,1,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-12219,59.71267,-39.23017,,2424,2825,
GI03FLMB-RI000-00-CTDMOH400,recovered_inst,Science,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/CTDMO_sn37-13456/*.hex,1,0,0,1,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGINS-CTDMOH-13456,59.71823,-39.35362,,2424,2812,
GI03FLMB-RI000-00-CTDMOH700,recovered_inst,Science,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/CTDMO-H_sn12226/*.hex,1,0,0,1,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-CTDMOH-12226,59.71267,-39.23017,,2123,2825,
GI03FLMB-RI000-00-CTDMOH700,recovered_inst,Science,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/CTDMO_sn37-13455/*.hex,1,0,0,1,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGINS-CTDMOH-13455,59.71823,-39.35362,,2123,2812,
GI03FLMB-RI000-00-VELPTB000,recovered_inst,Science,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/VELPT-B_snAQD11973/*.aqd,1,0,0,1,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-VELPTB-11973,59.71267,-39.23017,,1821,2825,
GI03FLMB-RI000-00-VELPTB000,recovered_inst,Science,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/VELPT_snAQD-12652/2100m01*.aqd,1,0,0,1,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGINS-VELPTB-12652,59.71823,-39.35362,,1800,2812,
GI03FLMB-RI000-00-VELPTB100,recovered_inst,Science,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/VELPT-B_snAQD11981/*.aqd,1,0,0,1,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-VELPTB-11981,59.71267,-39.23017,,2724,2825,
GI03FLMB-RI000-00-VELPTB100,recovered_inst,Science,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/VELPT_snAQD-12197/2700m01*.aqd,1,0,0,1,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGINS-VELPTB-12197,59.71823,-39.35362,,2700,2812,
GI03FLMB-RI000-00-VELPTB400,recovered_inst,Science,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/VELPT-B_snAQD11976/*.aqd,1,0,0,1,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-VELPTB-11976,59.71267,-39.23017,,2423,2825,
GI03FLMB-RI000-00-VELPTB400,recovered_inst,Science,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/VELPT_snAQD-12459/2400m01*.aqd,1,0,0,1,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGINS-VELPTB-12459,59.71823,-39.35362,,2400,2812,
GI03FLMB-RI000-00-VELPTB700,recovered_inst,Science,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/VELPT-B_snAQD11974/*.aqd,1,0,0,1,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-VELPTB-11974,59.71267,-39.23017,,2122,2825,
GI03FLMB-RI000-00-VELPTB700,recovered_inst,Science,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/VELPT_snAQD-12095/2100m01*.aqd,1,0,0,1,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGINS-VELPTB-12095,59.71823,-39.35362,,2100,2812,
GI03FLMB-RIM01-00-SIOENG000,recovered_host,Engineering,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/MSIOC_sn13285/STA*.DAT,339,0,1,338,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGCON-SIOCON-13285,59.71267,-39.23017,,1508,2825,
GI03FLMB-RIM01-00-SIOENG000,recovered_host,Engineering,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/MSIOC_sn14876/STATUS/STA*.DAT,336,0,1,335,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGCON-SIOCON-14876,59.71823,-39.35362,,1510,2812,deployment_depth placeholder: design depth
GI03FLMB-RIM01-00-SIOENG000,telemetered,Engineering,GI03FLMB_D00001_ingest.csv,GI03FLMB,1,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*status_1328501.dat,13,0,12,1,D00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGCON-SIOCON-13285,59.71267,-39.23017,,1508,2825,
GI03FLMB-RIM01-00-SIOENG000,telemetered,Engineering,GI03FLMB_D00002_ingest.csv,GI03FLMB,2,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00002/*status_1487601.dat,44,0,44,0,D00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGCON-SIOCON-14876,59.71823,-39.35362,,1510,2812,deployment_depth placeholder: design depth
GI03FLMB-RIM01-00-SIOENG000,telemetered,Engineering,GI03FLMB_D00003_ingest.csv,GI03FLMB,3,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00003/*status_1328201.dat,46,0,46,0,D00003,Available,,,AR-07-01,,,,,1,2016-07-13T15:49:00,2017-07-21T00:00:00,CGMGI-03FLMB-00003,,CGCON-SIOCON-13282,59.71547,-39.31479,,1507,2825,
GI03FLMB-RIM01-02-ADCPSL007,recovered_host,Science,GI03FLMB_R00001_ingest.csv,GI03FLMB,1,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/R00001/cg_data/dcl00/ADCPS-L_sn18353/ADC*.DAT,339,0,0,339,R00001,Available,,,KN-221-4,,,AT-30-01,,1,2014-09-16T13:24:00,2015-08-20T12:56:00,CGMGI-03FLMB-00001,,CGINS-ADCPSL-18353,59.71267,-39.23017,,502,2825,
GI03FLMB-RIM01-02-ADCPSL007,recovered_host,Science,GI03FLMB_R00002_ingest.csv,GI03FLMB,2,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/R00002/cg_data/dcl00/ADCPS_sn23381/ADC*.DAT,335,0,0,335,R00002,Available,,,AT-30-01,,,AR-07-01,,1,2015-08-21T17:11:00,2016-07-18T00:00:00,CGMGI-03FLMB-00002,,CGINS-ADCPSL-23381,59.71823,-39.35362,,500,2812,deployment_depth placeholder: design depth
