reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,compare_DH,Automated_status,status,notes_x,CUID_Deploy,compare,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GI05MOAS-PG528-00-ENG000000,recovered_host,Engineering,GI05MOAS-PG528_R00001_ingest.csv,GI05MOAS,1,Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG528/R00001/merged/gi*.mrg,93,0,0,93,R00001,Available,,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGCON-GLDRGP-00528,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
GI05MOAS-PG528-00-ENG000000,telemetered,Engineering,GI05MOAS-PG528_D00001_ingest.csv,GI05MOAS,1,Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG528/D00001/merged-from-glider/gi_*.mrg,1566,0,0,1566,D00001,Available,,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGCON-GLDRGP-00528,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
GI05MOAS-PG528-01-CTDGVM000,recovered_host,Science,GI05MOAS-PG528_R00001_ingest.csv,GI05MOAS,1,Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG528/R00001/merged/gi*.mrg,93,0,0,93,R00001,Available,,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGINS-CTDGVM-09258,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
GI05MOAS-PG528-01-CTDGVM000,telemetered,Science,GI05MOAS-PG528_D00001_ingest.csv,GI05MOAS,1,Ingest.ctdgv-m-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG528/D00001/merged-from-glider/gi_*.mrg,1566,0,0,1566,D00001,Available,,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGINS-CTDGVM-09258,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
GI05MOAS-PG528-02-DOSTAM000,recovered_host,Science,GI05MOAS-PG528_R00001_ingest.csv,GI05MOAS,1,Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG528/R00001/merged/gi*.mrg,93,0,0,93,R00001,Available,,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGINS-DOSTAM-00401,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
GI05MOAS-PG528-02-DOSTAM000,telemetered,Science,GI05MOAS-PG528_D00001_ingest.csv,GI05MOAS,1,Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG528/D00001/merged-from-glider/gi_*.mrg,1566,0,0,1566,D00001,Available,,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGINS-DOSTAM-00401,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
GI05MOAS-PG528-03-FLORTM000,recovered_host,Science,GI05MOAS-PG528_R00001_ingest.csv,GI05MOAS,1,Ingest.flort-m-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG528/R00001/merged/gi*.mrg,93,0,0,93,R00001,Available,,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGINS-FLORTM-03777,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
GI05MOAS-PG528-03-FLORTM000,telemetered,Science,GI05MOAS-PG528_D00001_ingest.csv,GI05MOAS,1,#Ingest.flort-m-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG528/D00001/merged-from-glider/gi_*.mrg,1566,0,0,1566,D00001,Available,Not configured properly for telemetry,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGINS-FLORTM-03777,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
GI05MOAS-PG528-04-FLORTO000,recovered_host,Science,GI05MOAS-PG528_R00001_ingest.csv,GI05MOAS,1,#Ingest.flort-o-glider_recovered,/omc_data/whoi/OMC/GI05MOAS-PG528/R00001/merged/gi*.mrg,93,0,0,93,R00001,Available,No parser,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGINS-FLORTO-01240,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
GI05MOAS-PG528-04-FLORTO000,telemetered,Science,GI05MOAS-PG528_D00001_ingest.csv,GI05MOAS,1,#Ingest.flort-o-glider_telemetered,/omc_data/whoi/OMC/GI05MOAS-PG528/D00001/merged-from-glider/gi_*.mrg,1566,0,0,1566,D00001,Available,Not configured properly for telemetry. No parser,,AT-30-01,,,,,1,2015-08-17T12:25:00,2016-06-18T00:00:00,CGVGI-05MOAS-00000,CGVEH-GLDRGP-00528,CGINS-FLORTO-01240,59.86283,-39.11552,,,,Recovered in the Davis Strait by the CCGS Amundsen
