ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,#Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*ctdmo*.dat,0,0,0,0,GP02HYPM-RIM01-02-CTDMOG039,telemetered,Missing,"Nominal imodem ID is 39, but actual for this deployment is 61; parser will overwrite 039 from ingest .csv file with 061",NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.wa_wfp_1236820.dat,2,0,0,2,GP02HYPM-WFP02-05-VEL3DL000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.wa_wfp_1236822.dat,2,0,0,2,GP02HYPM-WFP03-05-VEL3DL000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.wc_wfp_1236820.dat,2,0,0,2,GP02HYPM-WFP02-04-CTDPFL000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.wc_wfp_1236822.dat,2,0,0,2,GP02HYPM-WFP03-04-CTDPFL000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236820.dat,2,0,0,2,GP02HYPM-WFP02-03-DOSTAL000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236820.dat,2,0,0,2,GP02HYPM-WFP02-01-FLORDL000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236820.dat,2,0,0,2,GP02HYPM-WFP02-00-WFPENG000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236822.dat,2,0,0,2,GP02HYPM-WFP03-03-DOSTAL000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236822.dat,2,0,0,2,GP02HYPM-WFP03-01-FLORDL000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*.we_wfp_1236822.dat,2,0,0,2,GP02HYPM-WFP03-00-WFPENG000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00001/*status*.dat,2,0,0,2,GP02HYPM-RIM01-00-SIOENG000,telemetered,Available,,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GP02HYPM-MPM01-02-ZPLSGA009,telemetered,,Not deployed,NaN
GP02HYPM_D00001_ingest.csv,GP02HYPM,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GP02HYPM-MPM01-02-ZPLSGA010,telemetered,,Not deployed,NaN
GP02HYPM_D00002_ingest.csv,GP02HYPM,002,#Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00002/*ctdmo*.dat,0,0,0,0,GP02HYPM-RIM01-02-CTDMOG039,telemetered,Missing,"Nominal imodem ID is 39, but actual for this deployment is 14; parser will overwrite 039 from ingest .csv file with 061",NaN
GP02HYPM_D00002_ingest.csv,GP02HYPM,002,Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GP02HYPM/D00002/*.wa_wfp_1328320.dat,1,0,0,1,GP02HYPM-WFP02-05-VEL3DL000,telemetered,Available,,NaN
