reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route_y,filename_mask,number_files,file of today,file <= 1k,file > 1K,Automated_status,status,notes_x,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GP02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Science,GP02HYPM_R00001_ingest.csv,GP02HYPM,1,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#MV-1309,,MV-1404,,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,,50.07067,-144.798,,,4219,not deployed
GP02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Science,GP02HYPM_R00002_ingest.csv,GP02HYPM,2,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#MV-1404,,TN-323,,1,2014-06-16T02:15:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,,,50.07833,-144.80533,,,4219,not deployed
GP02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Science,GP02HYPM_R00003_ingest.csv,GP02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#TN-323,,RB-16-05,,1,2015-06-04T23:38:00,2016-07-01T18:56:00,CGMGP-02HYPM-00003,,,50.07983,-144.803,,,4219,not deployed
GP02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GP02HYPM_D00001_ingest.csv,GP02HYPM,1,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#MV-1309,,MV-1404,,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,,50.07067,-144.798,,,4219,not deployed
GP02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GP02HYPM_D00002_ingest.csv,GP02HYPM,2,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#MV-1404,,TN-323,,1,2014-06-16T02:15:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,,,50.07833,-144.80533,,,4219,not deployed
GP02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GP02HYPM_D00003_ingest.csv,GP02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#TN-323,,RB-16-05,,1,2015-06-04T23:38:00,2016-07-01T18:56:00,CGMGP-02HYPM-00003,,,50.07983,-144.803,,,4219,not deployed
GP02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GP02HYPM_D00004_ingest.csv,GP02HYPM,4,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Issues with data - MIO investigating,,RB-16-05,,,,1,2016-07-03T02:05:00,,CGMGP-02HYPM-00004,,CGINS-ZPLSGA-55093,50.0796,-144.80572,,,4220,
GP02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GP02HYPM_D00005_ingest.csv,GP02HYPM,5,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No telemetered data expected (no gliders deployed),,SR17-10,,,,1,2017-07-07T00:00:00,,CGMGP-02HYPM-00005,,CGINS-ZPLSGA-55110,50.07,-144.8,,,4237,update post-cruise
GP02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Science,GP02HYPM_R00001_ingest.csv,GP02HYPM,1,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#MV-1309,,MV-1404,,1,2013-07-26T08:11:00,2014-06-14T00:00:00,CGMGP-02HYPM-00001,,,50.07067,-144.798,,,4219,not deployed
GP02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Science,GP02HYPM_R00002_ingest.csv,GP02HYPM,2,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#MV-1404,,TN-323,,1,2014-06-16T02:15:00,2015-06-02T00:00:00,CGMGP-02HYPM-00002,,,50.07833,-144.80533,,,4219,not deployed
