refdes_list,method_list,type_list
GP02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Science
GP02HYPM-MPM01-02-ZPLSGA009,telemetered,Science
GP02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Science
GP02HYPM-MPM01-02-ZPLSGA010,telemetered,Science
GP02HYPM-RIM01-00-SIOENG000,recovered_host,Engineering
GP02HYPM-RIM01-00-SIOENG000,telemetered,Engineering
GP02HYPM-RIM01-02-CTDMOG039,recovered_host,Science
GP02HYPM-RIM01-02-CTDMOG039,recovered_inst,Science
GP02HYPM-RIM01-02-CTDMOG039,telemetered,Science
GP02HYPM-WFP02-00-WFPENG000,recovered_wfp,Engineering
GP02HYPM-WFP02-00-WFPENG000,telemetered,Engineering
GP02HYPM-WFP02-01-FLORDL000,recovered_wfp,Science
GP02HYPM-WFP02-01-FLORDL000,telemetered,Science
GP02HYPM-WFP02-03-DOSTAL000,recovered_wfp,Science
GP02HYPM-WFP02-03-DOSTAL000,telemetered,Science
GP02HYPM-WFP02-04-CTDPFL000,recovered_wfp,Science
GP02HYPM-WFP02-04-CTDPFL000,telemetered,Science
GP02HYPM-WFP02-05-VEL3DL000,recovered_wfp,Science
GP02HYPM-WFP02-05-VEL3DL000,telemetered,Science
GP02HYPM-WFP03-00-WFPENG000,recovered_wfp,Engineering
GP02HYPM-WFP03-00-WFPENG000,telemetered,Engineering
GP02HYPM-WFP03-01-FLORDL000,recovered_wfp,Science
GP02HYPM-WFP03-01-FLORDL000,telemetered,Science
GP02HYPM-WFP03-03-DOSTAL000,recovered_wfp,Science
GP02HYPM-WFP03-03-DOSTAL000,telemetered,Science
GP02HYPM-WFP03-04-CTDPFL000,recovered_wfp,Science
GP02HYPM-WFP03-04-CTDPFL000,telemetered,Science
GP02HYPM-WFP03-05-VEL3DL000,recovered_wfp,Science
GP02HYPM-WFP03-05-VEL3DL000,telemetered,Science
