ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GP03FLMB_D00001_ingest.csv,GP03FLMB,001,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*adcps_*.dat,2,0,0,2,GP03FLMB-RIM01-02-ADCPSL007,telemetered,Available,,NaN
GP03FLMB_D00001_ingest.csv,GP03FLMB,001,Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*ctdmo_*.dat,2,0,0,2,GP03FLMB-RIM01-02-CTDMOG000,telemetered,Available,,NaN
GP03FLMB_D00001_ingest.csv,GP03FLMB,001,Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*dosta_*.dat,2,0,0,2,GP03FLMB-RIS01-03-DOSTAD000,telemetered,Available,,NaN
GP03FLMB_D00001_ingest.csv,GP03FLMB,001,Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*flort_*.dat,2,0,0,2,GP03FLMB-RIS01-05-FLORTD000,telemetered,Available,,NaN
GP03FLMB_D00001_ingest.csv,GP03FLMB,001,Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*phsen_*.dat,2,0,0,2,GP03FLMB-RIS01-04-PHSENF000,telemetered,Available,,NaN
GP03FLMB_D00001_ingest.csv,GP03FLMB,001,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*status_1237101.dat,2,0,0,2,GP03FLMB-RIM01-00-SIOENG000,telemetered,Available,,NaN
GP03FLMB_D00001_ingest.csv,GP03FLMB,001,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*status_1236501.dat,2,0,0,2,GP03FLMB-RIS01-00-SIOENG000,telemetered,Available,,NaN
GP03FLMB_D00002_ingest.csv,GP03FLMB,002,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*adcps_*.dat,1,0,0,1,GP03FLMB-RIM01-02-ADCPSL007,telemetered,Available,,NaN
GP03FLMB_D00002_ingest.csv,GP03FLMB,002,Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,1,0,0,1,GP03FLMB-RIM01-02-CTDMOG000,telemetered,Available,,NaN
GP03FLMB_D00002_ingest.csv,GP03FLMB,002,Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*dosta_*.dat,1,0,0,1,GP03FLMB-RIS01-03-DOSTAD000,telemetered,Available,,NaN
GP03FLMB_D00002_ingest.csv,GP03FLMB,002,Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*flort_*.dat,1,0,0,1,GP03FLMB-RIS01-05-FLORTD000,telemetered,Available,,NaN
GP03FLMB_D00002_ingest.csv,GP03FLMB,002,Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*phsen_*.dat,1,0,0,1,GP03FLMB-RIS01-04-PHSENF000,telemetered,Available,,NaN
GP03FLMB_D00002_ingest.csv,GP03FLMB,002,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*status_1011801.dat,1,0,0,1,GP03FLMB-RIS01-00-SIOENG000,telemetered,Available,,NaN
GP03FLMB_D00002_ingest.csv,GP03FLMB,002,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*status_1328201.dat,1,0,0,1,GP03FLMB-RIM01-00-SIOENG000,telemetered,Available,,NaN
GP03FLMB_D00003_ingest.csv,GP03FLMB,003,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00003/*adcps_*.dat,227,0,54,173,GP03FLMB-RIM01-02-ADCPSL007,telemetered,Available,,NaN
GP03FLMB_D00003_ingest.csv,GP03FLMB,003,Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00003/*ctdmo_*.dat,230,0,73,157,GP03FLMB-RIM01-02-CTDMOG000,telemetered,Available,,NaN
GP03FLMB_D00003_ingest.csv,GP03FLMB,003,Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00003/*dosta_*.dat,145,0,100,45,GP03FLMB-RIS01-03-DOSTAD000,telemetered,Available,,NaN
GP03FLMB_D00003_ingest.csv,GP03FLMB,003,Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00003/*flort_*.dat,145,0,123,22,GP03FLMB-RIS01-05-FLORTD000,telemetered,Available,,NaN
GP03FLMB_D00003_ingest.csv,GP03FLMB,003,Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00003/*phsen_*.dat,106,0,89,17,GP03FLMB-RIS01-04-PHSENF000,telemetered,Available,,NaN
GP03FLMB_D00003_ingest.csv,GP03FLMB,003,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00003/*status_1237101.dat,125,0,101,24,GP03FLMB-RIS01-00-SIOENG000,telemetered,Available,,NaN
GP03FLMB_D00003_ingest.csv,GP03FLMB,003,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00003/*status_1399201.dat,153,0,153,0,GP03FLMB-RIM01-00-SIOENG000,telemetered,Available,,NaN
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*adcps_*.dat,16,0,6,10,GP03FLMB-RIM01-02-ADCPSL007,telemetered,Available,,NaN
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,16,0,7,9,GP03FLMB-RIM01-02-CTDMOG000,telemetered,Available,,NaN
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*dosta_*.dat,6,0,6,0,GP03FLMB-RIS01-03-DOSTAD000,telemetered,Available,,NaN
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*flort_*.dat,5,0,5,0,GP03FLMB-RIS01-05-FLORTD000,telemetered,Available,,NaN
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,#Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*phsen_*.dat,0,0,0,0,GP03FLMB-RIS01-04-PHSENF000,telemetered,Missing,Data not expected,NaN
GP03FLMB_D00004_ingest.csv,GP03FLMB,004,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*status_1328601.dat,7,0,7,0,GP03FLMB-RIS01-00-SIOENG000,telemetered,Available,,NaN
