reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,compare_DH,Automated_status,status,notes_x,CUID_Deploy,compare,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GP03FLMB-RIM01-00-SIOENG000,recovered_host,Engineering,GP03FLMB_R00001_ingest.csv,GP03FLMB,1,Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/Main_SIOC/status/STA*.DAT,331,0,0,331,R00001,Available,,,MV-1309,,,MV-1404,,1.0,2013-07-24T06:32:00,2014-06-18T00:00:00,CGMGP-03FLMB-00001,,CGCON-SIOCON-12365,50.33167,-144.40083,,1507.0,4145.0,
GP03FLMB-RIM01-00-SIOENG000,recovered_host,Engineering,GP03FLMB_R00002_ingest.csv,GP03FLMB,2,Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00002/cg_data/dcl00/MSIOC_SN_10118/STA*.DAT,360,0,0,360,R00002,Available,,,MV-1404,,,TN-323,,1.0,2014-06-20T02:00:00,2015-06-07T00:00:00,CGMGP-03FLMB-00002,,CGCON-SIOCON-12371,50.33133,-144.3975,,1509.0,4145.0,
GP03FLMB-RIM01-00-SIOENG000,recovered_host,Engineering,GP03FLMB_R00003_ingest.csv,GP03FLMB,3,Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00003/cg_data/dcl00/MSIOC_sn12372/STA/STA*.DAT,437,0,41,396,R00003,Available,,,TN-323,,,RB-16-05,,1.0,2015-06-08T21:25:00,2016-07-03T18:35:00,CGMGP-03FLMB-00003,,OL000104,50.33033,-144.39833,,1525.0,4145.0,
GP03FLMB-RIM01-00-SIOENG000,telemetered,Engineering,GP03FLMB_D00001_ingest.csv,GP03FLMB,1,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00001/*status_1237101.dat,2,0,0,2,D00001,Available,,,MV-1309,,,MV-1404,,1.0,2013-07-24T06:32:00,2014-06-18T00:00:00,CGMGP-03FLMB-00001,,CGCON-SIOCON-12365,50.33167,-144.40083,,1507.0,4145.0,
GP03FLMB-RIM01-00-SIOENG000,telemetered,Engineering,GP03FLMB_D00002_ingest.csv,GP03FLMB,2,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*status_1328201.dat,1,0,0,1,D00002,Available,,,MV-1404,,,TN-323,,1.0,2014-06-20T02:00:00,2015-06-07T00:00:00,CGMGP-03FLMB-00002,,CGCON-SIOCON-12371,50.33133,-144.3975,,1509.0,4145.0,
GP03FLMB-RIM01-00-SIOENG000,telemetered,Engineering,GP03FLMB_D00003_ingest.csv,GP03FLMB,3,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00003/*status_1399201.dat,153,0,153,0,D00003,Available,,,TN-323,,,RB-16-05,,1.0,2015-06-08T21:25:00,2016-07-03T18:35:00,CGMGP-03FLMB-00003,,OL000104,50.33033,-144.39833,,1525.0,4145.0,
GP03FLMB-RIM01-00-SIOENG000,telemetered,Engineering,GP03FLMB_D00004_ingest.csv,GP03FLMB,4,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*status_1328501.dat,11,0,11,0,D00004,Available,,,RB-16-05,,,,,1.0,2016-07-04T23:07:00,,CGMGP-03FLMB-00004,,CGCON-SIOCON-13285,50.32925,-144.398,,,4146.0,
GP03FLMB-RIM01-00-SIOENG000,telemetered,Engineering,GP03FLMB_D00005_ingest.csv,GP03FLMB,5,#Ingest.sio-eng-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,False,,No telemetered data expected (no gliders deployed),,SR17-10,,,,,1.0,2017-07-07T00:00:00,,CGMGP-03FLMB-00005,,CGCON-SIOCON-13284,50.3,-144.3,,,4178.0,update post cruise
GP03FLMB-RIM01-02-ADCPSL007,recovered_host,Science,GP03FLMB_R00001_ingest.csv,GP03FLMB,1,#Ingest.adcps-jln-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,False,,Data not expected,,MV-1309,,,MV-1404,,1.0,2013-07-24T06:32:00,2014-06-18T00:00:00,CGMGP-03FLMB-00001,,CGINS-ADCPSL-18260,50.33167,-144.40083,,501.0,4145.0,
GP03FLMB-RIM01-02-ADCPSL007,recovered_host,Science,GP03FLMB_R00002_ingest.csv,GP03FLMB,2,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/R00002/cg_data/dcl00/ADCP_sn20504/ADC*.DAT,360,0,0,360,R00002,Available,,,MV-1404,,,TN-323,,1.0,2014-06-20T02:00:00,2015-06-07T00:00:00,CGMGP-03FLMB-00002,,CGINS-ADCPSL-20504,50.33133,-144.3975,,503.0,4145.0,
GP03FLMB-RIM01-02-ADCPSL007,recovered_host,Science,GP03FLMB_R00003_ingest.csv,GP03FLMB,3,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/R00003/cg_data/dcl00/ADCPS_sn22846/ADC*.DAT,396,0,0,396,R00003,Available,,,TN-323,,,RB-16-05,,1.0,2015-06-08T21:25:00,2016-07-03T18:35:00,CGMGP-03FLMB-00003,,CGINS-ADCPSL-22846,50.33033,-144.39833,,519.0,4145.0,
GP03FLMB-RIM01-02-ADCPSL007,recovered_inst,Science,GP03FLMB_R00001_ingest.csv,GP03FLMB,1,Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/adcp/*.000,5,0,0,5,R00001,Available,,,MV-1309,,,MV-1404,,1.0,2013-07-24T06:32:00,2014-06-18T00:00:00,CGMGP-03FLMB-00001,,CGINS-ADCPSL-18260,50.33167,-144.40083,,501.0,4145.0,
