reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,compare_DH,Automated_status,status,notes_x,CUID_Deploy,compare,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GP05MOAS-GL365-00-ENG000000,recovered_host,Engineering,GP05MOAS-GL365_R00001_ingest.csv,GP05MOAS,1,Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GP05MOAS-GL365/R00001/merged/unit*.mrg,776,0,0,776,R00001,Available,,,MV-1309,,,,,1,2013-07-19T23:00:00,2014-02-20T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGCON-GLDROO-00365,50.07067,-144.798,,,,
GP05MOAS-GL365-00-ENG000000,telemetered,Engineering,GP05MOAS-GL365_D00001_ingest.csv,GP05MOAS,1,Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-GL365/D00001/merged-from-glider/unit*.mrg,765,0,0,765,D00001,Available,,,MV-1309,,,,,1,2013-07-19T23:00:00,2014-02-20T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGCON-GLDROO-00365,50.07067,-144.798,,,,
GP05MOAS-GL365-00-ENG000000,telemetered,Engineering,GP05MOAS-GL365_D00002_ingest.csv,GP05MOAS,2,Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-GL365/D00002/merged-from-glider/gp_*.mrg,0,0,0,0,D00002,Missing,,,RB-16-05,,,,,1,2016-06-27T15:35:00,2017-05-21T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGCON-GLDROO-00365,50.16558,-144.50077,,,,"bladder prob. - comm issues - early batt. Depletion , redmine 11980"
GP05MOAS-GL365-01-FLORDM000,recovered_host,Science,GP05MOAS-GL365_R00001_ingest.csv,GP05MOAS,1,Ingest.flord-m-glider_recovered,/omc_data/whoi/OMC/GP05MOAS-GL365/R00001/merged/unit*.mrg,776,0,0,776,R00001,Available,,,MV-1309,,,,,1,2013-07-19T23:00:00,2014-02-20T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGINS-FLORDM-03124,50.07067,-144.798,,,,
GP05MOAS-GL365-01-FLORDM000,telemetered,Science,GP05MOAS-GL365_D00001_ingest.csv,GP05MOAS,1,Ingest.flord-m-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-GL365/D00001/merged-from-glider/unit*.mrg,765,0,0,765,D00001,Available,,,MV-1309,,,,,1,2013-07-19T23:00:00,2014-02-20T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGINS-FLORDM-03124,50.07067,-144.798,,,,
GP05MOAS-GL365-01-FLORDM000,telemetered,Science,GP05MOAS-GL365_D00002_ingest.csv,GP05MOAS,2,Ingest.flord-m-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-GL365/D00002/merged-from-glider/gp_*.mrg,0,0,0,0,D00002,Missing,,,RB-16-05,,,,,1,2016-06-27T15:35:00,2017-05-21T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGINS-FLORDM-03124,50.16558,-144.50077,,,,"bladder prob. - comm issues - early batt. Depletion , redmine 11980"
GP05MOAS-GL365-02-DOSTAM000,recovered_host,Science,GP05MOAS-GL365_R00001_ingest.csv,GP05MOAS,1,Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GP05MOAS-GL365/R00001/merged/unit*.mrg,776,0,0,776,R00001,Available,,,MV-1309,,,,,1,2013-07-19T23:00:00,2014-02-20T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGINS-DOSTAM-00169,50.07067,-144.798,,,,
GP05MOAS-GL365-02-DOSTAM000,telemetered,Science,GP05MOAS-GL365_D00001_ingest.csv,GP05MOAS,1,Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-GL365/D00001/merged-from-glider/unit*.mrg,765,0,0,765,D00001,Available,,,MV-1309,,,,,1,2013-07-19T23:00:00,2014-02-20T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGINS-DOSTAM-00169,50.07067,-144.798,,,,
GP05MOAS-GL365-02-DOSTAM000,telemetered,Science,GP05MOAS-GL365_D00002_ingest.csv,GP05MOAS,2,Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-GL365/D00002/merged-from-glider/gp_*.mrg,0,0,0,0,D00002,Missing,,,RB-16-05,,,,,1,2016-06-27T15:35:00,2017-05-21T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGINS-DOSTAM-00281,50.16558,-144.50077,,,,"bladder prob. - comm issues - early batt. Depletion , redmine 11980"
GP05MOAS-GL365-04-CTDGVM000,recovered_host,Science,GP05MOAS-GL365_R00001_ingest.csv,GP05MOAS,1,Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GP05MOAS-GL365/R00001/merged/unit*.mrg,776,0,0,776,R00001,Available,,,MV-1309,,,,,1,2013-07-19T23:00:00,2014-02-20T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDROO-00365,CGINS-CTDGVM-09061,50.07067,-144.798,,,,
