reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,compare_DH,Automated_status,status,notes_x,CUID_Deploy,compare,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GP05MOAS-PG576-00-ENG000000,recovered_host,Engineering,GP05MOAS-PG576_R00001_ingest.csv,GP05MOAS,1,#Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GP05MOAS-PG576/R00001/merged/gp_*.mrg,0,0,0,0,R00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGCON-GLDRGP-00576,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
GP05MOAS-PG576-00-ENG000000,telemetered,Engineering,GP05MOAS-PG576_D00001_ingest.csv,GP05MOAS,1,#Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-PG576/D00001/merged-from-glider/gp_*.mrg,0,0,0,0,D00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGCON-GLDRGP-00576,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
GP05MOAS-PG576-01-CTDGVM000,recovered_host,Science,GP05MOAS-PG576_R00001_ingest.csv,GP05MOAS,1,#Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GP05MOAS-PG576/R00001/merged/gp_*.mrg,0,0,0,0,R00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGINS-CTDGVM-09222,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
GP05MOAS-PG576-01-CTDGVM000,telemetered,Science,GP05MOAS-PG576_D00001_ingest.csv,GP05MOAS,1,#Ingest.ctdgv-m-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-PG576/D00001/merged-from-glider/gp_*.mrg,0,0,0,0,D00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGINS-CTDGVM-09222,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
GP05MOAS-PG576-02-DOSTAM000,recovered_host,Science,GP05MOAS-PG576_R00001_ingest.csv,GP05MOAS,1,#Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GP05MOAS-PG576/R00001/merged/gp_*.mrg,0,0,0,0,R00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGINS-DOSTAM-00496,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
GP05MOAS-PG576-02-DOSTAM000,telemetered,Science,GP05MOAS-PG576_D00001_ingest.csv,GP05MOAS,1,#Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-PG576/D00001/merged-from-glider/gp_*.mrg,0,0,0,0,D00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGINS-DOSTAM-00496,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
GP05MOAS-PG576-03-FLORTM000,recovered_host,Science,GP05MOAS-PG576_R00001_ingest.csv,GP05MOAS,1,#Ingest.flort-m-glider_recovered,/omc_data/whoi/OMC/GP05MOAS-PG576/R00001/merged/gp_*.mrg,0,0,0,0,R00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGINS-FLORTM-04090,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
GP05MOAS-PG576-03-FLORTM000,telemetered,Science,GP05MOAS-PG576_D00001_ingest.csv,GP05MOAS,1,#Ingest.flort-m-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-PG576/D00001/merged-from-glider/gp_*.mrg,0,0,0,0,D00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGINS-FLORTM-04090,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
GP05MOAS-PG576-04-FLORTO000,recovered_host,Science,GP05MOAS-PG576_R00001_ingest.csv,GP05MOAS,1,#Ingest.flort-o-glider_recovered,/omc_data/whoi/OMC/GP05MOAS-PG576/R00001/merged/gp_*.mrg,0,0,0,0,R00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGINS-FLORTO-01346,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
GP05MOAS-PG576-04-FLORTO000,telemetered,Science,GP05MOAS-PG576_D00001_ingest.csv,GP05MOAS,1,#Ingest.flort-o-glider_telemetered,/omc_data/whoi/OMC/GP05MOAS-PG576/D00001/merged-from-glider/gp_*.mrg,0,0,0,0,D00001,Missing,No data on server,,#RB-16-05,,,,,1,2016-06-27T18:47:00,2016-07-06T00:00:00,CGVGP-05MOAS-00000,CGVEH-GLDRGP-00576,CGINS-FLORTO-01346,50.15037,-144.50643,,,,few days worth of profiles of data. Not transferred to the CI server yet. Ingestion files not ready waiting on file paths.
