ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,# Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl11/mopak/*.mopak.log,0,0,0,0,GS01SUMO-SBD11-01-MOPAK0000,telemetered,Missing,No MOPAK telemetered data in this deployment,NaN
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl11/dosta1/*.dosta*.log,187,0,3,184,GS01SUMO-SBD11-04-DOSTAD000,telemetered,Available,,NaN
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl11/spkir1/*.spkir*.log,187,0,3,184,GS01SUMO-SBD11-05-SPKIRB000,telemetered,Available,,NaN
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl11/metbk1/*.metbk*.log,187,0,3,184,GS01SUMO-SBD11-06-METBKA000,telemetered,Available,,NaN
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,Ingest.nutnr-b-dcl-full_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl11/nutnr1/*.nutnr*.log,187,0,7,180,GS01SUMO-SBD11-08-NUTNRB000,telemetered,Available,,NaN
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl12/optaa1/*.optaa*.log,6569,0,74,6495,GS01SUMO-SBD12-01-OPTAAD000,telemetered,Available,,NaN
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl12/flort1/*.flort*.log,293,0,6,287,GS01SUMO-SBD12-02-FLORTD000,telemetered,Available,,NaN
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,Ingest.pco2a-a-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl12/pco2a/*.pco2a.log,267,0,14,253,GS01SUMO-SBD12-04-PCO2AA000,telemetered,Available,,NaN
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,Ingest.wavss-a-dcl-full_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl12/wavss/*.wavss.log,295,0,3,292,GS01SUMO-SBD12-05-WAVSSA000,telemetered,Available,,NaN
GS01SUMO_D00001_ingest.csv,GS01SUMO,1,Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00001/cg_data/dcl12/metbk2/*.metbk*.log,295,0,2,293,GS01SUMO-SBD12-06-METBKA000,telemetered,Available,,NaN
