ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl11/mopak/*.mopak.log,6900,7,35,6865,GS01SUMO-SBD11-01-MOPAK0000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl11/dosta1/*.dosta1.log,308,1,8,300,GS01SUMO-SBD11-04-DOSTAD000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl11/spkir1/*.spkir1.log,308,1,5,303,GS01SUMO-SBD11-05-SPKIRB000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl11/metbk1/*.metbk1.log,308,1,9,299,GS01SUMO-SBD11-06-METBKA000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.nutnr-b-dcl-full_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl11/nutnr1/*.nutnr1.log,301,1,18,283,GS01SUMO-SBD11-08-NUTNRB000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl12/optaa1/*.optaa1.log,6931,13,71,6860,GS01SUMO-SBD12-01-OPTAAD000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl12/flort1/*.flort1.log,308,1,12,296,GS01SUMO-SBD12-02-FLORTD000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.pco2a-a-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl12/pco2a/*.pco2a.log,301,1,16,285,GS01SUMO-SBD12-04-PCO2AA000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.wavss-a-dcl-full_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl12/wavss/*.wavss.log,308,1,9,299,GS01SUMO-SBD12-05-WAVSSA000,telemetered,Available,Unable to parse files,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl12/metbk2/*.metbk2.log,308,1,9,299,GS01SUMO-SBD12-06-METBKA000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.fdchp-a-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl12/fdchp/*.fdchp.log,280,1,19,261,GS01SUMO-SBD12-08-FDCHPA000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl16/optaa2/*.optaa2.log,5354,0,33,5321,GS01SUMO-RID16-01-OPTAAD000,telemetered,Available,,NaN
GS01SUMO_D00003_ingest.csv,GS01SUMO,003,Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/GS01SUMO/D00003/cg_data/dcl16/flort2/*.flort2.log,248,0,4,244,GS01SUMO-RID16-02-FLORTD000,telemetered,Available,,NaN
