ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.mopak-o-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl11/mopak/*.mopak.log,6588,0,206,6382,GS01SUMO-SBD11-01-MOPAK0000,recovered_host,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.metbk-a-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl11/metbk1/*.metbk1.log,193,0,12,181,GS01SUMO-SBD11-06-METBKA000,recovered_host,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.dosta-abcdjm-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl11/dosta1/*.dosta1.log,366,0,11,355,GS01SUMO-SBD11-04-DOSTAD000,recovered_host,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.spkir-abj-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl11/spkir1/*.spkir1.log,282,0,16,266,GS01SUMO-SBD11-05-SPKIRB000,recovered_host,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.nutnr-b-dcl-full_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl11/nutnr1/*.nutnr1.log,366,0,25,341,GS01SUMO-SBD11-08-NUTNRB000,recovered_host,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/instruments/dcl11/NUTNR_sn277/*.DAT,412,0,0,412,GS01SUMO-SBD11-08-NUTNRB000,recovered_inst,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.hyd-o-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl11/hyd1/*hyd1.log,89,0,24,65,GS01SUMO-SBD11-03-HYDGN0000,recovered_host,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.metbk-a-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl12/metbk2/*.metbk2.log,379,0,1,378,GS01SUMO-SBD12-06-METBKA000,recovered_host,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.pco2a-a-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl12/pco2a/*.pco2a.log,380,0,3,377,GS01SUMO-SBD12-04-PCO2AA000,recovered_host,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.wavss-a-dcl-full_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl12/wavss/*.wavss.log,380,0,0,380,GS01SUMO-SBD12-05-WAVSSA000,recovered_host,Available,,NaN
GS01SUMO_R00002_ingest.csv,GS01SUMO,002,Ingest.optaa-dj-dcl_recovered,/omc_data/whoi/OMC/GS01SUMO/R00002/cg_data/dcl12/optaa1/*.optaa1.log,8979,0,17,8962,GS01SUMO-SBD12-01-OPTAAD000,recovered_host,Available,,NaN
