ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.we_wfp_*.dat,0,0,0,0,GS02HYPM-WFP02-01-FLORDL000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.we_wfp_*.dat,0,0,0,0,GS02HYPM-WFP02-03-DOSTAL000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.wc_wfp_*.dat,0,0,0,0,GS02HYPM-WFP02-04-CTDPFL000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.wa_wfp_*.dat,0,0,0,0,GS02HYPM-WFP02-05-VEL3DL000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.we_wfp_*.dat,0,0,0,0,GS02HYPM-WFP03-01-FLORDL000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.we_wfp_*.dat,0,0,0,0,GS02HYPM-WFP03-03-DOSTAL000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.wc_wfp_*.dat,0,0,0,0,GS02HYPM-WFP03-04-CTDPFL000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.wa_wfp_*.dat,0,0,0,0,GS02HYPM-WFP03-05-VEL3DL000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS02HYPM-MPM01-02-ZPLSGA009,telemetered,,Not deployed,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS02HYPM-MPM01-02-ZPLSGA010,telemetered,,Not deployed,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*ctdmo*.dat,45,0,45,0,GS02HYPM-RIM01-02-CTDMOG039,telemetered,Available,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/node*p1_*.status.dat,45,0,45,0,GS02HYPM-RIM01-00-SIOENG000,telemetered,Available,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.we_wfp_*.dat,0,0,0,0,GS02HYPM-WFP02-00-WFPENG000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00001_ingest.csv,GS02HYPM,001,#Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00001/*.we_wfp_*.dat,0,0,0,0,GS02HYPM-WFP03-00-WFPENG000,telemetered,Missing,No telemetered data in correct format,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487121.dat,8,0,6,2,GS02HYPM-WFP02-01-FLORDL000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487121.dat,8,0,6,2,GS02HYPM-WFP02-03-DOSTAL000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.wc_wfp_1487121.dat,9,0,8,1,GS02HYPM-WFP02-04-CTDPFL000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.wa_wfp_1487121.dat,9,0,0,9,GS02HYPM-WFP02-05-VEL3DL000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487122.dat,8,0,4,4,GS02HYPM-WFP03-01-FLORDL000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487122.dat,8,0,4,4,GS02HYPM-WFP03-03-DOSTAL000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.wc_wfp_1487122.dat,8,0,7,1,GS02HYPM-WFP03-04-CTDPFL000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.wa_wfp_1487122.dat,8,0,0,8,GS02HYPM-WFP03-05-VEL3DL000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS02HYPM-MPM01-02-ZPLSGA009,telemetered,,Not deployed,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,#,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS02HYPM-MPM01-02-ZPLSGA010,telemetered,,Not deployed,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*ctdmo*.dat,10,0,9,1,GS02HYPM-RIM01-02-CTDMOG039,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/node*p1_*.status_1487101.dat,10,0,9,1,GS02HYPM-RIM01-00-SIOENG000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487121.dat,8,0,6,2,GS02HYPM-WFP02-00-WFPENG000,telemetered,Available,,NaN
GS02HYPM_D00002_ingest.csv,GS02HYPM,002,Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487122.dat,8,0,4,4,GS02HYPM-WFP03-00-WFPENG000,telemetered,Available,,NaN
GS02HYPM_D00003_ingest.csv,GS02HYPM,003,#Ingest.flord-l-wfp-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS02HYPM-WFP02-01-FLORDL000,telemetered,,No glider deployed so telemetered data will not be available,NaN
