reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route_y,filename_mask,number_files,file of today,file <= 1k,file > 1K,Automated_status,status,notes_x,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GS02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Science,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,,-54.46834,-89.36843,,,4650,not deployed
GS02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Science,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,,,-54.47011,-89.24,,,4515,not deployed
GS02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GS02HYPM_D00001_ingest.csv,GS02HYPM,1,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,,-54.46834,-89.36843,,,4650,not deployed
GS02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GS02HYPM_D00002_ingest.csv,GS02HYPM,2,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,,,-54.47011,-89.24,,,4515,not deployed
GS02HYPM-MPM01-02-ZPLSGA009,telemetered,Science,GS02HYPM_D00003_ingest.csv,GS02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No glider deployed so telemetered data will not be available,,NBP16-10,,,,1,2016-11-30T19:29:00,,CGMGS-02HYPM-00003,,CGINS-ZPLSGA-55105,-54.46928833,-89.31909167,,150.0,4583,deployment_depth placeholder: design depth
GS02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Science,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,,-54.46834,-89.36843,,,4650,not deployed
GS02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Science,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,,,-54.47011,-89.24,,,4515,not deployed
GS02HYPM-MPM01-02-ZPLSGA010,telemetered,Science,GS02HYPM_D00001_ingest.csv,GS02HYPM,1,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,,-54.46834,-89.36843,,,4650,not deployed
GS02HYPM-MPM01-02-ZPLSGA010,telemetered,Science,GS02HYPM_D00002_ingest.csv,GS02HYPM,2,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,Not deployed,,#NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,,,-54.47011,-89.24,,,4515,not deployed
GS02HYPM-MPM01-02-ZPLSGA010,telemetered,Science,GS02HYPM_D00003_ingest.csv,GS02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No glider deployed so telemetered data will not be available,,NBP16-10,,,,1,2016-11-30T19:29:00,,CGMGS-02HYPM-00003,,CGINS-ZPLSGA-55106,-54.46928833,-89.31909167,,150.0,4583,deployment_depth placeholder: design depth
GS02HYPM-RIM01-00-SIOENG000,recovered_host,Engineering,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/R00001/cg_data/dcl00/MSIOC_sn/STA*.DA?,0,0,0,0,Missing,Data not expected,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,OL000027,-54.46834,-89.36843,,4413.0,4650,
GS02HYPM-RIM01-00-SIOENG000,recovered_host,Engineering,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/R00002/cg_data/MSIOC_sn14871/STATUS/STA*.DA?,363,0,0,363,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,,CGCON-SIOCON-14871,-54.47011,-89.24,,4353.0,4515,Update recovery date when Quick Look Report is Released
GS02HYPM-RIM01-00-SIOENG000,telemetered,Engineering,GS02HYPM_D00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/D00001/node*p1_*.status.dat,45,0,45,0,Available,No telemetered data in correct format,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,OL000027,-54.46834,-89.36843,,4413.0,4650,
GS02HYPM-RIM01-00-SIOENG000,telemetered,Engineering,GS02HYPM_D00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/D00002/node*p1_*.status_1487101.dat,10,0,9,1,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,,CGCON-SIOCON-14871,-54.47011,-89.24,,4353.0,4515,Update recovery date when Quick Look Report is Released
GS02HYPM-RIM01-00-SIOENG000,telemetered,Engineering,GS02HYPM_D00003_ingest.csv,GS02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No glider deployed so telemetered data will not be available,,NBP16-10,,,,1,2016-11-30T19:29:00,,CGMGS-02HYPM-00003,,CGCON-SIOCON-14871,-54.46928833,-89.31909167,,4634.0,4583,deployment_depth placeholder: design depth
GS02HYPM-RIM01-02-CTDMOG039,recovered_host,Science,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/R00001/cg_data/dcl00/CTDMO-G_sn37-12402/*.DAT,0,0,0,0,Missing,Data not expected,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,CGINS-CTDMOG-12402,-54.46834,-89.36843,,163.0,4650,
GS02HYPM-RIM01-02-CTDMOG039,recovered_host,Science,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/R00002/cg_data/MSIOC_sn14871/CTD/*.DAT,363,0,1,362,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,,CGINS-CTDMOG-13644,-54.47011,-89.24,,160.0,4515,Update recovery date when Quick Look Report is Released
GS02HYPM-RIM01-02-CTDMOG039,recovered_inst,Science,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/R00001/cg_data/dcl00/CTDMO-G_sn37-12402/*.hex,1,0,0,1,Available,,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,CGINS-CTDMOG-12402,-54.46834,-89.36843,,163.0,4650,
GS02HYPM-RIM01-02-CTDMOG039,recovered_inst,Science,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/CTDMO_sn37-13644/*.hex,1,0,0,1,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,,CGINS-CTDMOG-13644,-54.47011,-89.24,,160.0,4515,Update recovery date when Quick Look Report is Released
GS02HYPM-RIM01-02-CTDMOG039,telemetered,Science,GS02HYPM_D00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/D00001/*ctdmo*.dat,45,0,45,0,Available,No telemetered data in correct format,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,,CGINS-CTDMOG-12402,-54.46834,-89.36843,,163.0,4650,
GS02HYPM-RIM01-02-CTDMOG039,telemetered,Science,GS02HYPM_D00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/D00002/*ctdmo*.dat,10,0,9,1,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,,CGINS-CTDMOG-13644,-54.47011,-89.24,,160.0,4515,Update recovery date when Quick Look Report is Released
GS02HYPM-RIM01-02-CTDMOG039,telemetered,Science,GS02HYPM_D00003_ingest.csv,GS02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No glider deployed so telemetered data will not be available,,NBP16-10,,,,1,2016-11-30T19:29:00,,CGMGS-02HYPM-00003,,CGINS-CTDMOG-12379,-54.46928833,-89.31909167,,164.0,4583,deployment_depth placeholder: design depth
GS02HYPM-WFP02-00-WFPENG000,recovered_wfp,Engineering,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-05/00000/E*.DA?,332,0,4,328,Available,,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGCON-GWFPGX-10405,-54.46834,-89.36843,,2152.0,4650,shallow depth = 168
GS02HYPM-WFP02-00-WFPENG000,recovered_wfp,Engineering,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/E*.DA?,435,0,0,435,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,CGVEH-GWFPGX-45201,CGCON-GWFPGX-45201,-54.47011,-89.24,,2242.0,4515,shallow depth = 160. Update recovery date when Quick Look Report is Released
GS02HYPM-WFP02-00-WFPENG000,telemetered,Engineering,GS02HYPM_D00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/D00001/*.we_wfp_*.dat,0,0,0,0,Missing,No telemetered data in correct format,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGCON-GWFPGX-10405,-54.46834,-89.36843,,2152.0,4650,shallow depth = 168
GS02HYPM-WFP02-00-WFPENG000,telemetered,Engineering,GS02HYPM_D00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487121.dat,8,0,6,2,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,CGVEH-GWFPGX-45201,CGCON-GWFPGX-45201,-54.47011,-89.24,,2242.0,4515,shallow depth = 160. Update recovery date when Quick Look Report is Released
GS02HYPM-WFP02-00-WFPENG000,telemetered,Engineering,GS02HYPM_D00003_ingest.csv,GS02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No glider deployed so telemetered data will not be available,,NBP16-10,,,,1,2016-11-30T19:29:00,,CGMGS-02HYPM-00003,CGVEH-GWFPGX-10407,CGCON-GWFPGX-10407,-54.46928833,-89.31909167,,2373.0,4583,deployment_depth placeholder: design depth
GS02HYPM-WFP02-01-FLORDL000,recovered_wfp,Science,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-05/00000/E*.DA?,332,0,4,328,Available,,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-FLORDL-03281,-54.46834,-89.36843,,2152.0,4650,shallow depth = 168
GS02HYPM-WFP02-01-FLORDL000,recovered_wfp,Science,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/E*.DA?,435,0,0,435,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,CGVEH-GWFPGX-45201,CGINS-FLORDL-04013,-54.47011,-89.24,,2242.0,4515,shallow depth = 160. Update recovery date when Quick Look Report is Released
GS02HYPM-WFP02-01-FLORDL000,telemetered,Science,GS02HYPM_D00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/D00001/*.we_wfp_*.dat,0,0,0,0,Missing,No telemetered data in correct format,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-FLORDL-03281,-54.46834,-89.36843,,2152.0,4650,shallow depth = 168
GS02HYPM-WFP02-01-FLORDL000,telemetered,Science,GS02HYPM_D00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487121.dat,8,0,6,2,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,CGVEH-GWFPGX-45201,CGINS-FLORDL-04013,-54.47011,-89.24,,2242.0,4515,shallow depth = 160. Update recovery date when Quick Look Report is Released
GS02HYPM-WFP02-01-FLORDL000,telemetered,Science,GS02HYPM_D00003_ingest.csv,GS02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No glider deployed so telemetered data will not be available,,NBP16-10,,,,1,2016-11-30T19:29:00,,CGMGS-02HYPM-00003,CGVEH-GWFPGX-10407,CGINS-FLORDL-03282,-54.46928833,-89.31909167,,2373.0,4583,deployment_depth placeholder: design depth
GS02HYPM-WFP02-03-DOSTAL000,recovered_wfp,Science,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-05/00000/E*.DA?,332,0,4,328,Available,,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-DOSTAL-01477,-54.46834,-89.36843,,2152.0,4650,shallow depth = 168
GS02HYPM-WFP02-03-DOSTAL000,recovered_wfp,Science,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/E*.DA?,435,0,0,435,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,CGVEH-GWFPGX-45201,CGINS-DOSTAL-02198,-54.47011,-89.24,,2242.0,4515,shallow depth = 160. Update recovery date when Quick Look Report is Released
GS02HYPM-WFP02-03-DOSTAL000,telemetered,Science,GS02HYPM_D00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/D00001/*.we_wfp_*.dat,0,0,0,0,Missing,No telemetered data in correct format,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-DOSTAL-01477,-54.46834,-89.36843,,2152.0,4650,shallow depth = 168
GS02HYPM-WFP02-03-DOSTAL000,telemetered,Science,GS02HYPM_D00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487121.dat,8,0,6,2,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,CGVEH-GWFPGX-45201,CGINS-DOSTAL-02198,-54.47011,-89.24,,2242.0,4515,shallow depth = 160. Update recovery date when Quick Look Report is Released
GS02HYPM-WFP02-03-DOSTAL000,telemetered,Science,GS02HYPM_D00003_ingest.csv,GS02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No glider deployed so telemetered data will not be available,,NBP16-10,,,,1,2016-11-30T19:29:00,,CGMGS-02HYPM-00003,CGVEH-GWFPGX-10407,CGINS-DOSTAL-01479,-54.46928833,-89.31909167,,2373.0,4583,deployment_depth placeholder: design depth
GS02HYPM-WFP02-04-CTDPFL000,recovered_wfp,Science,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-05/00000/C*.DA?,331,0,208,123,Available,,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-CTDPFL-00133,-54.46834,-89.36843,,2152.0,4650,shallow depth = 168
GS02HYPM-WFP02-04-CTDPFL000,recovered_wfp,Science,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/C*.DA?,435,0,0,435,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,CGVEH-GWFPGX-45201,CGINS-CTDPFL-00150,-54.47011,-89.24,,2242.0,4515,shallow depth = 160. Update recovery date when Quick Look Report is Released
GS02HYPM-WFP02-04-CTDPFL000,telemetered,Science,GS02HYPM_D00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/D00001/*.wc_wfp_*.dat,0,0,0,0,Missing,No telemetered data in correct format,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-CTDPFL-00133,-54.46834,-89.36843,,2152.0,4650,shallow depth = 168
GS02HYPM-WFP02-04-CTDPFL000,telemetered,Science,GS02HYPM_D00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/D00002/*.wc_wfp_1487121.dat,9,0,8,1,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,CGVEH-GWFPGX-45201,CGINS-CTDPFL-00150,-54.47011,-89.24,,2242.0,4515,shallow depth = 160. Update recovery date when Quick Look Report is Released
GS02HYPM-WFP02-04-CTDPFL000,telemetered,Science,GS02HYPM_D00003_ingest.csv,GS02HYPM,3,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No glider deployed so telemetered data will not be available,,NBP16-10,,,,1,2016-11-30T19:29:00,,CGMGS-02HYPM-00003,CGVEH-GWFPGX-10407,CGINS-CTDPFL-00130,-54.46928833,-89.31909167,,2373.0,4583,deployment_depth placeholder: design depth
GS02HYPM-WFP02-05-VEL3DL000,recovered_wfp,Science,GS02HYPM_R00001_ingest.csv,GS02HYPM,1,,/omc_data/whoi/OMC/GS02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-05/00000/A*.DA?,331,0,0,331,Available,,,AT-26-29,,NBP-15-11,,1,2015-02-19T23:00:00,2015-12-25T12:50:00,CGMGS-02HYPM-00001,CGVEH-GWFPGX-10405,CGINS-VEL3DL-01116,-54.46834,-89.36843,,2152.0,4650,shallow depth = 168
GS02HYPM-WFP02-05-VEL3DL000,recovered_wfp,Science,GS02HYPM_R00002_ingest.csv,GS02HYPM,2,,/omc_data/whoi/OMC/GS02HYPM/R00002/instruments/GWFP_sn13452-01/00000/A*.DA?,435,0,0,435,Available,,,NBP-15-11,,NBP16-10,,1,2015-12-15T19:34:00,2016-12-11T00:00:00,CGMGS-02HYPM-00002,CGVEH-GWFPGX-45201,CGINS-VEL3DL-01256,-54.47011,-89.24,,2242.0,4515,shallow depth = 160. Update recovery date when Quick Look Report is Released
