reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route_y,filename_mask,number_files,file of today,file <= 1k,file > 1K,Automated_status,status,notes_x,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GS03FLMA-RIM01-00-SIOENG000,recovered_host,Engineering,GS03FLMA_R00001_ingest.csv,GS03FLMA,1.0,,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/MSIOC/STA*.DAT,298,0,0,298,Available,,,AT-26-29,,NBP-15-11,,1.0,2015-02-25T23:55:00,2015-12-18T12:33:00,CGMGS-03FLMA-00001,,OL000247,-54.10517,-89.65361,,1505.0,4632.0,
GS03FLMA-RIM01-00-SIOENG000,recovered_host,Engineering,GS03FLMA_R00002_ingest.csv,GS03FLMA,2.0,,/omc_data/whoi/OMC/GS03FLMA/R00002/cg_data/MSIOC_sn14877/STATUS/STA*.DAT,360,0,0,360,Available,,,NBP-15-11,,NBP16-10,,1.0,2015-12-17T19:42:00,2016-12-06T00:00:00,CGMGS-03FLMA-00002,,CGCON-SIOCON-14883,-54.12563,-89.55293,,1503.0,4705.0,Update recovery date when Quick Look report is released
GS03FLMA-RIM01-00-SIOENG000,telemetered,Engineering,GS03FLMA_D00001_ingest.csv,GS03FLMA,1.0,,/omc_data/whoi/OMC/GS03FLMA/D00001/*.status_1399001.dat,31,0,30,1,Available,,,AT-26-29,,NBP-15-11,,1.0,2015-02-25T23:55:00,2015-12-18T12:33:00,CGMGS-03FLMA-00001,,OL000247,-54.10517,-89.65361,,1505.0,4632.0,
GS03FLMA-RIM01-00-SIOENG000,telemetered,Engineering,GS03FLMA_D00002_ingest.csv,GS03FLMA,2.0,,/omc_data/whoi/OMC/GS03FLMA/D00002/*.status_1487701.dat,26,0,25,1,Available,,,NBP-15-11,,NBP16-10,,1.0,2015-12-17T19:42:00,2016-12-06T00:00:00,CGMGS-03FLMA-00002,,CGCON-SIOCON-14883,-54.12563,-89.55293,,1503.0,4705.0,Update recovery date when Quick Look report is released
GS03FLMA-RIM01-00-SIOENG000,telemetered,Engineering,GS03FLMA_D00003_ingest.csv,GS03FLMA,3.0,,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,,No glider deployed so telemetered data will not be available,,#NBP16-10,,,,1.0,2016-12-01T19:20:00,,CGMGS-03FLMA-00003,,,-54.10421167,-89.65421167,,1510.0,4627.0,need correct serial number/UID
GS03FLMA-RIM01-02-ADCPSL003,recovered_host,Science,GS03FLMA_R00001_ingest.csv,GS03FLMA,1.0,,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/ADCPS_sn21450/ADC*.DAT,0,0,0,0,Missing,Data not expected,,AT-26-29,,NBP-15-11,,1.0,2015-02-25T23:55:00,2015-12-18T12:33:00,CGMGS-03FLMA-00001,,CGINS-ADCPSL-18352,-54.10517,-89.65361,,500.0,4632.0,
GS03FLMA-RIM01-02-ADCPSL003,recovered_host,Science,GS03FLMA_R00002_ingest.csv,GS03FLMA,2.0,,/omc_data/whoi/OMC/GS03FLMA/R00002/cg_data/MSIOC_sn14877/ADCPS/ADC*.DAT,359,0,0,359,Available,,,NBP-15-11,,NBP16-10,,1.0,2015-12-17T19:42:00,2016-12-06T00:00:00,CGMGS-03FLMA-00002,,CGINS-ADCPSL-20502,-54.12563,-89.55293,,495.0,4705.0,Update recovery date when Quick Look report is released
GS03FLMA-RIM01-02-ADCPSL003,recovered_inst,Science,GS03FLMA_R00001_ingest.csv,GS03FLMA,1.0,,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/ADCPS_sn21450/*.000,1,0,0,1,Available,,,AT-26-29,,NBP-15-11,,1.0,2015-02-25T23:55:00,2015-12-18T12:33:00,CGMGS-03FLMA-00001,,CGINS-ADCPSL-18352,-54.10517,-89.65361,,500.0,4632.0,
GS03FLMA-RIM01-02-ADCPSL003,recovered_inst,Science,GS03FLMA_R00002_ingest.csv,GS03FLMA,2.0,,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/ADCPS_sn20502/*.000,2,0,0,2,Available,,,NBP-15-11,,NBP16-10,,1.0,2015-12-17T19:42:00,2016-12-06T00:00:00,CGMGS-03FLMA-00002,,CGINS-ADCPSL-20502,-54.12563,-89.55293,,495.0,4705.0,Update recovery date when Quick Look report is released
GS03FLMA-RIM01-02-ADCPSL003,telemetered,Science,GS03FLMA_D00001_ingest.csv,GS03FLMA,1.0,,/omc_data/whoi/OMC/GS03FLMA/D00001/*adcps*.dat,40,0,5,35,Available,,,AT-26-29,,NBP-15-11,,1.0,2015-02-25T23:55:00,2015-12-18T12:33:00,CGMGS-03FLMA-00001,,CGINS-ADCPSL-18352,-54.10517,-89.65361,,500.0,4632.0,
