refdes_list,method_list,type_list,parserDriver_list
GS03FLMA-RIM01-00-SIOENG000,recovered_host,Engineering,mi.dataset.driver.sio_eng_sio.sio_eng_sio_recovered_driver
GS03FLMA-RIM01-00-SIOENG000,telemetered,Engineering,mi.dataset.driver.sio_eng_sio.sio_eng_sio_telemetered_driver
GS03FLMA-RIM01-02-ADCPSL003,recovered_host,Science,mi.dataset.driver.adcps_jln_stc.adcps_jln_stc_recovered_driver
GS03FLMA-RIM01-02-ADCPSL003,recovered_inst,Science,mi.dataset.driver.adcp_pd0.adcps_jln_driver
GS03FLMA-RIM01-02-ADCPSL003,telemetered,Science,mi.dataset.driver.adcps_jln_sio.adcps_jln_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOG040,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOG040,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOG040,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOG041,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOG041,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOG041,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOG042,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOG042,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOG042,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
GS03FLMA-RIM01-02-CTDMOG043,recovered_host,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_co_recovered_driver
GS03FLMA-RIM01-02-CTDMOG043,recovered_inst,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_ct_recovered_driver
GS03FLMA-RIM01-02-CTDMOG043,telemetered,Science,mi.dataset.driver.ctdmo_ghqr_sio.ctdmo_ghqr_sio_telemetered_driver
