ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,reference_designator,data_source,Automated_status,status,notes
GS03FLMB_D00001_ingest.csv,GS03FLMB,001,Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*flort*.dat,27,0,21,6,GS03FLMB-RIS01-05-FLORTD000,telemetered,Available,,NaN
GS03FLMB_D00001_ingest.csv,GS03FLMB,001,Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*phsen*.dat,26,0,19,7,GS03FLMB-RIS01-04-PHSENF000,telemetered,Available,,NaN
GS03FLMB_D00001_ingest.csv,GS03FLMB,001,Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*dosta*.dat,27,0,17,10,GS03FLMB-RIS01-03-DOSTAD000,telemetered,Available,,NaN
GS03FLMB_D00001_ingest.csv,GS03FLMB,001,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*adcps*.dat,28,0,5,23,GS03FLMB-RIM01-02-ADCPSL007,telemetered,Available,,NaN
GS03FLMB_D00001_ingest.csv,GS03FLMB,001,Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*ctdmo*.dat,28,0,13,15,GS03FLMB-RIM01-02-CTDMOG000,telemetered,Available,,NaN
GS03FLMB_D00001_ingest.csv,GS03FLMB,001,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*.status_1399101.dat,27,0,25,2,GS03FLMB-RIS01-00-SIOENG000,telemetered,Available,,NaN
GS03FLMB_D00001_ingest.csv,GS03FLMB,001,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00001/*.status_1399701.dat,25,0,24,1,GS03FLMB-RIM01-00-SIOENG000,telemetered,Available,,NaN
GS03FLMB_D00002_ingest.csv,GS03FLMB,002,Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00002/*flort*.dat,45,0,42,3,GS03FLMB-RIS01-05-FLORTD000,telemetered,Available,,NaN
GS03FLMB_D00002_ingest.csv,GS03FLMB,002,Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00002/*phsen*.dat,31,0,27,4,GS03FLMB-RIS01-04-PHSENF000,telemetered,Available,,NaN
GS03FLMB_D00002_ingest.csv,GS03FLMB,002,Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00002/*dosta*.dat,45,0,33,12,GS03FLMB-RIS01-03-DOSTAD000,telemetered,Available,,NaN
GS03FLMB_D00002_ingest.csv,GS03FLMB,002,Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00002/*adcps*.dat,44,0,2,42,GS03FLMB-RIM01-02-ADCPSL007,telemetered,Available,,NaN
GS03FLMB_D00002_ingest.csv,GS03FLMB,002,Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00002/*ctdmo*.dat,44,0,10,34,GS03FLMB-RIM01-02-CTDMOG000,telemetered,Available,,NaN
GS03FLMB_D00002_ingest.csv,GS03FLMB,002,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00002/*.status_1488401.dat,30,0,30,0,GS03FLMB-RIS01-00-SIOENG000,telemetered,Available,,NaN
GS03FLMB_D00002_ingest.csv,GS03FLMB,002,Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/D00002/*.status_1488501.dat,35,0,34,1,GS03FLMB-RIM01-00-SIOENG000,telemetered,Available,,NaN
GS03FLMB_D00003_ingest.csv,GS03FLMB,003,#Ingest.flort-dj-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS03FLMB-RIS01-05-FLORTD000,telemetered,,No glider deployed so telemetered data will not be available,NaN
GS03FLMB_D00003_ingest.csv,GS03FLMB,003,#Ingest.phsen-abcdef-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS03FLMB-RIS01-04-PHSENF000,telemetered,,No glider deployed so telemetered data will not be available,NaN
GS03FLMB_D00003_ingest.csv,GS03FLMB,003,#Ingest.dosta-abcdjm-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS03FLMB-RIS01-03-DOSTAD000,telemetered,,No glider deployed so telemetered data will not be available,NaN
GS03FLMB_D00003_ingest.csv,GS03FLMB,003,#Ingest.adcps-jln-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS03FLMB-RIM01-02-ADCPSL007,telemetered,,No glider deployed so telemetered data will not be available,NaN
GS03FLMB_D00003_ingest.csv,GS03FLMB,003,#Ingest.ctdmo-ghqr-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS03FLMB-RIM01-02-CTDMOG000,telemetered,,No glider deployed so telemetered data will not be available,NaN
GS03FLMB_D00003_ingest.csv,GS03FLMB,003,#Ingest.sio-eng-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS03FLMB-RIS01-00-SIOENG000,telemetered,,No glider deployed so telemetered data will not be available,NaN
GS03FLMB_D00003_ingest.csv,GS03FLMB,003,#Ingest.sio-eng-sio_telemetered,,file_mask is empty,file_mask is empty,file_mask is empty,file_mask is empty,GS03FLMB-RIM01-00-SIOENG000,telemetered,,No glider deployed so telemetered data will not be available,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/ADCPS_sn21446/*.000,2,0,0,2,GS03FLMB-RIM01-02-ADCPSL007,recovered_inst,Available,,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,#Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/ADCPS_sn21446/ADC*.DAT,0,0,0,0,GS03FLMB-RIM01-02-ADCPSL007,recovered_host,Missing,Data not expected,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,Ingest.dosta-abcdjm-sio_recovered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/DOSTA_sn392/DOS*.DAT,184,0,1,183,GS03FLMB-RIS01-03-DOSTAD000,recovered_host,Available,,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,Ingest.flort-dj-sio_recovered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/FLORD_sn1217/FLO*.DAT,184,0,1,183,GS03FLMB-RIS01-05-FLORTD000,recovered_host,Available,,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/PHSEN_snP0144/SAMI*.txt,1,0,0,1,GS03FLMB-RIS01-04-PHSENF000,recovered_inst,Available,,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,#Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/PHSEN_snP0144/PHS*.DAT,0,0,0,0,GS03FLMB-RIS01-04-PHSENF000,recovered_host,Missing,Data not expected,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/CTDMO_sn37-12587/*.hex,1,0,0,1,GS03FLMB-RIM01-02-CTDMOG060,recovered_inst,Available,29,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/CTDMO_sn37-12377/*.hex,1,0,0,1,GS03FLMB-RIM01-02-CTDMOG061,recovered_inst,Available,39,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/CTDMO_sn37-12313/*.hex,1,0,0,1,GS03FLMB-RIM01-02-CTDMOG062,recovered_inst,Available,59,NaN
GS03FLMB_R00001_ingest.csv,GS03FLMB,001,Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00001/cg_data/dcl00/CTDMO_sn37-12312/*.hex,1,0,0,1,GS03FLMB-RIM01-02-CTDMOG063,recovered_inst,Available,90,NaN
