refdes_list,method_list,type_list
GS03FLMB-RIM01-00-SIOENG000,recovered_host,Engineering
GS03FLMB-RIM01-00-SIOENG000,telemetered,Engineering
GS03FLMB-RIM01-02-ADCPSL007,recovered_host,Science
GS03FLMB-RIM01-02-ADCPSL007,recovered_inst,Science
GS03FLMB-RIM01-02-ADCPSL007,telemetered,Science
GS03FLMB-RIM01-02-CTDMOG060,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOG060,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOG060,telemetered,Science
GS03FLMB-RIM01-02-CTDMOG061,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOG061,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOG061,telemetered,Science
GS03FLMB-RIM01-02-CTDMOG062,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOG062,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOG062,telemetered,Science
GS03FLMB-RIM01-02-CTDMOG063,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOG063,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOG063,telemetered,Science
GS03FLMB-RIM01-02-CTDMOG064,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOG064,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOG064,telemetered,Science
GS03FLMB-RIM01-02-CTDMOG065,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOG065,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOG065,telemetered,Science
GS03FLMB-RIM01-02-CTDMOG066,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOG066,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOG066,telemetered,Science
GS03FLMB-RIM01-02-CTDMOG067,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOG067,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOG067,telemetered,Science
GS03FLMB-RIM01-02-CTDMOG068,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOG068,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOG068,telemetered,Science
GS03FLMB-RIM01-02-CTDMOH069,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOH069,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOH069,telemetered,Science
GS03FLMB-RIM01-02-CTDMOH070,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOH070,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOH070,telemetered,Science
GS03FLMB-RIM01-02-CTDMOH071,recovered_host,Science
GS03FLMB-RIM01-02-CTDMOH071,recovered_inst,Science
GS03FLMB-RIM01-02-CTDMOH071,telemetered,Science
GS03FLMB-RIS01-00-SIOENG000,recovered_host,Engineering
GS03FLMB-RIS01-00-SIOENG000,telemetered,Engineering
GS03FLMB-RIS01-03-DOSTAD000,recovered_host,Science
GS03FLMB-RIS01-03-DOSTAD000,telemetered,Science
GS03FLMB-RIS01-04-PHSENF000,recovered_inst,Science
GS03FLMB-RIS01-04-PHSENF000,recovered_host,Science
GS03FLMB-RIS01-04-PHSENF000,telemetered,Science
GS03FLMB-RIS01-05-FLORTD000,recovered_host,Science
GS03FLMB-RIS01-05-FLORTD000,telemetered,Science
