reference_designator,data_source,type_list,ingest_csv_filename,platform,deployment#,uframe_route,filename_mask,number_files,file of today,file <= 1k,file > 1K,compare_DH,Automated_status,status,notes_x,CUID_Deploy,compare,deployedBy,CUID_Recover,recoveredBy,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes_y
GS05MOAS-PG566-00-ENG000000,recovered_host,Engineering,GS05MOAS-PG566_R00001_ingest.csv,GS05MOAS,1,#Ingest.glider-eng-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG566/R00001/merged-from-glider/gs_*.mrg,0,0,0,0,R00001,Missing,No data on server,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGCON-GLDRGP-00566,-54.12559,-89.75086,,,,
GS05MOAS-PG566-00-ENG000000,telemetered,Engineering,GS05MOAS-PG566_D00001_ingest.csv,GS05MOAS,1,Ingest.glider-eng-glider_telemetered,/omc_data/whoi/OMC/GS05MOAS-PG566/D00001/merged-from-glider/gs_*.mrg,1115,0,0,1115,D00001,Available,,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGCON-GLDRGP-00566,-54.12559,-89.75086,,,,
GS05MOAS-PG566-01-CTDGVM000,recovered_host,Science,GS05MOAS-PG566_R00001_ingest.csv,GS05MOAS,1,#Ingest.ctdgv-m-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG566/R00001/merged-from-glider/gs_*.mrg,0,0,0,0,R00001,Missing,No data on server,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-CTDGVM-09288,-54.12559,-89.75086,,,,
GS05MOAS-PG566-01-CTDGVM000,telemetered,Science,GS05MOAS-PG566_D00001_ingest.csv,GS05MOAS,1,Ingest.ctdgv-m-glider_telemetered,/omc_data/whoi/OMC/GS05MOAS-PG566/D00001/merged-from-glider/gs_*.mrg,1115,0,0,1115,D00001,Available,,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-CTDGVM-09288,-54.12559,-89.75086,,,,
GS05MOAS-PG566-02-DOSTAM000,recovered_host,Science,GS05MOAS-PG566_R00001_ingest.csv,GS05MOAS,1,#Ingest.dosta-abcdjm-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG566/R00001/merged-from-glider/gs_*.mrg,0,0,0,0,R00001,Missing,No data on server,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-DOSTAM-00414,-54.12559,-89.75086,,,,
GS05MOAS-PG566-02-DOSTAM000,telemetered,Science,GS05MOAS-PG566_D00001_ingest.csv,GS05MOAS,1,Ingest.dosta-abcdjm-glider_telemetered,/omc_data/whoi/OMC/GS05MOAS-PG566/D00001/merged-from-glider/gs_*.mrg,1115,0,0,1115,D00001,Available,,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-DOSTAM-00414,-54.12559,-89.75086,,,,
GS05MOAS-PG566-03-FLORTM000,recovered_host,Science,GS05MOAS-PG566_R00001_ingest.csv,GS05MOAS,1,#Ingest.flort-m-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG566/R00001/merged-from-glider/gs_*.mrg,0,0,0,0,R00001,Missing,No data on server,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-FLORTM-04039,-54.12559,-89.75086,,,,
GS05MOAS-PG566-03-FLORTM000,telemetered,Science,GS05MOAS-PG566_D00001_ingest.csv,GS05MOAS,1,#Ingest.flort-m-glider_telemetered,/omc_data/whoi/OMC/GS05MOAS-PG566/D00001/merged-from-glider/gs_*.mrg,1115,0,0,1115,D00001,Not Expected,Not configured properly for telemetry,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-FLORTM-04039,-54.12559,-89.75086,,,,
GS05MOAS-PG566-04-FLORTO000,recovered_host,Science,GS05MOAS-PG566_R00001_ingest.csv,GS05MOAS,1,#Ingest.flort-o-glider_recovered,/omc_data/whoi/OMC/GS05MOAS-PG566/R00001/merged-from-glider/gs_*.mrg,0,0,0,0,R00001,Missing,No parser,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-FLORTO-01333,-54.12559,-89.75086,,,,
GS05MOAS-PG566-04-FLORTO000,telemetered,Science,GS05MOAS-PG566_D00001_ingest.csv,GS05MOAS,1,#Ingest.flort-o-glider_telemetered,/omc_data/whoi/OMC/GS05MOAS-PG566/D00001/merged-from-glider/gs_*.mrg,1115,0,0,1115,D00001,Not Expected,Not configured properly for telemetry. No parser,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-FLORTO-01333,-54.12559,-89.75086,,,,
GS05MOAS-PG566-05-NUTNRM000,recovered_host,Science,GS05MOAS-PG566_R00001_ingest.csv,GS05MOAS,1,#Ingest.nutnr-m-glider_telemetered,/omc_data/whoi/OMC/GS05MOAS-PG566/R00001/merged-from-glider/gs_*.mrg,0,0,0,0,R00001,Missing,No data on server,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-NUTNRM-00660,-54.12559,-89.75086,,,,
GS05MOAS-PG566-05-NUTNRM000,telemetered,Science,GS05MOAS-PG566_D00001_ingest.csv,GS05MOAS,1,Ingest.nutnr-m-glider_telemetered,/omc_data/whoi/OMC/GS05MOAS-PG566/D00001/merged-from-glider/gs_*.mrg,1115,0,0,1115,D00001,Available,,,NBP-15-11,,,,,1,2015-12-20T17:16:00,2016-10-12T11:45:00,CGVGS-05MOAS-00000,CGVEH-GLDRGP-00566,CGINS-NUTNRM-00660,-54.12559,-89.75086,,,,
